"municipio","cod_municipio","uf","area_km2","ano","incremento","desmatamento"
"Abaetetuba",1500107,"PA",1628.5588,"2000",NA,130.6
"Abaetetuba",1500107,"PA",1628.5588,"2001",524.4,655
"Abaetetuba",1500107,"PA",1628.5588,"2002",2.6,657.6
"Abaetetuba",1500107,"PA",1628.5588,"2003",2.5,660.1
"Abaetetuba",1500107,"PA",1628.5588,"2004",11.5,671.6
"Abaetetuba",1500107,"PA",1628.5588,"2005",3.2,674.8
"Abaetetuba",1500107,"PA",1628.5588,"2006",4.5,679.3
"Abaetetuba",1500107,"PA",1628.5588,"2007",4,683.3
"Abaetetuba",1500107,"PA",1628.5588,"2008",1.2,684.5
"Abaetetuba",1500107,"PA",1628.5588,"2009",3,687.5
"Abaetetuba",1500107,"PA",1628.5588,"2010",3.8,691.3
"Abaetetuba",1500107,"PA",1628.5588,"2011",0.8,692.1
"Abaetetuba",1500107,"PA",1628.5588,"2012",2.2,694.3
"Abaetetuba",1500107,"PA",1628.5588,"2013",0.4,694.7
"Abaetetuba",1500107,"PA",1628.5588,"2014",0.2,694.9
"Abaetetuba",1500107,"PA",1628.5588,"2015",0.6,695.5
"Abaetetuba",1500107,"PA",1628.5588,"2016",0.4,695.9
"Abaetetuba",1500107,"PA",1628.5588,"2017",1.2,697.1
"Abaetetuba",1500107,"PA",1628.5588,"2018",0.6,697.7
"Abaetetuba",1500107,"PA",1628.5588,"2019",0.3,698
"Abaetetuba",1500107,"PA",1628.5588,"2020",1.2,699.2
"Abaetetuba",1500107,"PA",1628.5588,"2021",1.7,700.9
"Abaetetuba",1500107,"PA",1628.5588,"2022",0.4,701.3
"Abel Figueiredo",1500131,"PA",598.62432,"2000",NA,509.9
"Abel Figueiredo",1500131,"PA",598.62432,"2001",0.4,510.3
"Abel Figueiredo",1500131,"PA",598.62432,"2002",13.6,523.9
"Abel Figueiredo",1500131,"PA",598.62432,"2003",0.5,524.4
"Abel Figueiredo",1500131,"PA",598.62432,"2004",0.8,525.2
"Abel Figueiredo",1500131,"PA",598.62432,"2005",15.9,541.1
"Abel Figueiredo",1500131,"PA",598.62432,"2006",0.8,541.9
"Abel Figueiredo",1500131,"PA",598.62432,"2007",2,543.9
"Abel Figueiredo",1500131,"PA",598.62432,"2008",2,545.9
"Abel Figueiredo",1500131,"PA",598.62432,"2009",1,546.9
"Abel Figueiredo",1500131,"PA",598.62432,"2010",1.7,548.6
"Abel Figueiredo",1500131,"PA",598.62432,"2011",0.4,549
"Abel Figueiredo",1500131,"PA",598.62432,"2012",0,549
"Abel Figueiredo",1500131,"PA",598.62432,"2013",0.4,549.4
"Abel Figueiredo",1500131,"PA",598.62432,"2014",0.4,549.8
"Abel Figueiredo",1500131,"PA",598.62432,"2015",0.2,550
"Abel Figueiredo",1500131,"PA",598.62432,"2016",0.5,550.5
"Abel Figueiredo",1500131,"PA",598.62432,"2017",0.2,550.7
"Abel Figueiredo",1500131,"PA",598.62432,"2018",1,551.7
"Abel Figueiredo",1500131,"PA",598.62432,"2019",4.2,555.9
"Abel Figueiredo",1500131,"PA",598.62432,"2020",1.2,557.1
"Abel Figueiredo",1500131,"PA",598.62432,"2021",2.1,559.2
"Abel Figueiredo",1500131,"PA",598.62432,"2022",2.7,561.9
"Abreulândia",1700251,"TO",1902.63695,"2000",NA,121.6
"Abreulândia",1700251,"TO",1902.63695,"2001",19.6,141.2
"Abreulândia",1700251,"TO",1902.63695,"2002",19.6,160.8
"Abreulândia",1700251,"TO",1902.63695,"2003",42.1,202.9
"Abreulândia",1700251,"TO",1902.63695,"2004",42.1,245
"Abreulândia",1700251,"TO",1902.63695,"2005",47.4,292.4
"Abreulândia",1700251,"TO",1902.63695,"2006",47.4,339.8
"Abreulândia",1700251,"TO",1902.63695,"2007",19,358.8
"Abreulândia",1700251,"TO",1902.63695,"2008",19,377.8
"Abreulândia",1700251,"TO",1902.63695,"2009",36.3,414.1
"Abreulândia",1700251,"TO",1902.63695,"2010",36.3,450.4
"Abreulândia",1700251,"TO",1902.63695,"2011",15.3,465.7
"Abreulândia",1700251,"TO",1902.63695,"2012",15.3,481
"Abreulândia",1700251,"TO",1902.63695,"2013",30.2,511.2
"Abreulândia",1700251,"TO",1902.63695,"2014",27.3,538.5
"Abreulândia",1700251,"TO",1902.63695,"2015",82.6,621.1
"Abreulândia",1700251,"TO",1902.63695,"2016",30.8,651.9
"Abreulândia",1700251,"TO",1902.63695,"2017",35.4,687.3
"Abreulândia",1700251,"TO",1902.63695,"2018",30.6,717.9
"Abreulândia",1700251,"TO",1902.63695,"2019",20.3,738.2
"Abreulândia",1700251,"TO",1902.63695,"2020",39.3,777.5
"Abreulândia",1700251,"TO",1902.63695,"2021",29.9,807.4
"Abreulândia",1700251,"TO",1902.63695,"2022",33.3,840.7
"Acará",1500206,"PA",4353.10954,"2000",NA,1877.1
"Acará",1500206,"PA",4353.10954,"2001",61.8,1938.9
"Acará",1500206,"PA",4353.10954,"2002",42.5,1981.4
"Acará",1500206,"PA",4353.10954,"2003",28,2009.4
"Acará",1500206,"PA",4353.10954,"2004",72.6,2082
"Acará",1500206,"PA",4353.10954,"2005",54.2,2136.2
"Acará",1500206,"PA",4353.10954,"2006",36.1,2172.3
"Acará",1500206,"PA",4353.10954,"2007",38,2210.3
"Acará",1500206,"PA",4353.10954,"2008",47.8,2258.1
"Acará",1500206,"PA",4353.10954,"2009",11.9,2270
"Acará",1500206,"PA",4353.10954,"2010",30.2,2300.2
"Acará",1500206,"PA",4353.10954,"2011",15,2315.2
"Acará",1500206,"PA",4353.10954,"2012",4.8,2320
"Acará",1500206,"PA",4353.10954,"2013",18.3,2338.3
"Acará",1500206,"PA",4353.10954,"2014",5.8,2344.1
"Acará",1500206,"PA",4353.10954,"2015",7,2351.1
"Acará",1500206,"PA",4353.10954,"2016",7.2,2358.3
"Acará",1500206,"PA",4353.10954,"2017",18.5,2376.8
"Acará",1500206,"PA",4353.10954,"2018",16.7,2393.5
"Acará",1500206,"PA",4353.10954,"2019",18.2,2411.7
"Acará",1500206,"PA",4353.10954,"2020",15.7,2427.4
"Acará",1500206,"PA",4353.10954,"2021",10.3,2437.7
"Acará",1500206,"PA",4353.10954,"2022",5.7,2443.4
"Acorizal",5100102,"MT",1013.82825,"2000",NA,248.7
"Acorizal",5100102,"MT",1013.82825,"2001",14.6,263.3
"Acorizal",5100102,"MT",1013.82825,"2002",14.6,277.9
"Acorizal",5100102,"MT",1013.82825,"2003",14.1,292
"Acorizal",5100102,"MT",1013.82825,"2004",14.1,306.1
"Acorizal",5100102,"MT",1013.82825,"2005",17.5,323.6
"Acorizal",5100102,"MT",1013.82825,"2006",17.5,341.1
"Acorizal",5100102,"MT",1013.82825,"2007",5,346.1
"Acorizal",5100102,"MT",1013.82825,"2008",5,351.1
"Acorizal",5100102,"MT",1013.82825,"2009",4.7,355.8
"Acorizal",5100102,"MT",1013.82825,"2010",4.7,360.5
"Acorizal",5100102,"MT",1013.82825,"2011",6.7,367.2
"Acorizal",5100102,"MT",1013.82825,"2012",6.7,373.9
"Acorizal",5100102,"MT",1013.82825,"2013",9.6,383.5
"Acorizal",5100102,"MT",1013.82825,"2014",6.3,389.8
"Acorizal",5100102,"MT",1013.82825,"2015",16.2,406
"Acorizal",5100102,"MT",1013.82825,"2016",5.5,411.5
"Acorizal",5100102,"MT",1013.82825,"2017",2.6,414.1
"Acorizal",5100102,"MT",1013.82825,"2018",7.2,421.3
"Acorizal",5100102,"MT",1013.82825,"2019",5.6,426.9
"Acorizal",5100102,"MT",1013.82825,"2020",2.7,429.6
"Acorizal",5100102,"MT",1013.82825,"2021",2.2,431.8
"Acorizal",5100102,"MT",1013.82825,"2022",1.3,433.1
"Acrelândia",1200013,"AC",1819.49772,"2000",NA,619.5
"Acrelândia",1200013,"AC",1819.49772,"2001",63.1,682.6
"Acrelândia",1200013,"AC",1819.49772,"2002",105.4,788
"Acrelândia",1200013,"AC",1819.49772,"2003",56.3,844.3
"Acrelândia",1200013,"AC",1819.49772,"2004",45.7,890
"Acrelândia",1200013,"AC",1819.49772,"2005",78.4,968.4
"Acrelândia",1200013,"AC",1819.49772,"2006",20.9,989.3
"Acrelândia",1200013,"AC",1819.49772,"2007",11.6,1000.9
"Acrelândia",1200013,"AC",1819.49772,"2008",23.7,1024.6
"Acrelândia",1200013,"AC",1819.49772,"2009",12.9,1037.5
"Acrelândia",1200013,"AC",1819.49772,"2010",11.3,1048.8
"Acrelândia",1200013,"AC",1819.49772,"2011",15.9,1064.7
"Acrelândia",1200013,"AC",1819.49772,"2012",4.2,1068.9
"Acrelândia",1200013,"AC",1819.49772,"2013",9.5,1078.4
"Acrelândia",1200013,"AC",1819.49772,"2014",18.9,1097.3
"Acrelândia",1200013,"AC",1819.49772,"2015",14.8,1112.1
"Acrelândia",1200013,"AC",1819.49772,"2016",23.8,1135.9
"Acrelândia",1200013,"AC",1819.49772,"2017",5.7,1141.6
"Acrelândia",1200013,"AC",1819.49772,"2018",21.8,1163.4
"Acrelândia",1200013,"AC",1819.49772,"2019",19.9,1183.3
"Acrelândia",1200013,"AC",1819.49772,"2020",12.9,1196.2
"Acrelândia",1200013,"AC",1819.49772,"2021",38.3,1234.5
"Acrelândia",1200013,"AC",1819.49772,"2022",18.5,1253
"Afuá",1500305,"PA",8515.1183,"2000",NA,20.4
"Afuá",1500305,"PA",8515.1183,"2001",0.3,20.7
"Afuá",1500305,"PA",8515.1183,"2002",3.2,23.9
"Afuá",1500305,"PA",8515.1183,"2003",0.8,24.7
"Afuá",1500305,"PA",8515.1183,"2004",0.2,24.9
"Afuá",1500305,"PA",8515.1183,"2005",1.1,26
"Afuá",1500305,"PA",8515.1183,"2006",1,27
"Afuá",1500305,"PA",8515.1183,"2007",0.1,27.1
"Afuá",1500305,"PA",8515.1183,"2008",0.1,27.2
"Afuá",1500305,"PA",8515.1183,"2009",0,27.2
"Afuá",1500305,"PA",8515.1183,"2010",1.7,28.9
"Afuá",1500305,"PA",8515.1183,"2011",0,28.9
"Afuá",1500305,"PA",8515.1183,"2012",0.2,29.1
"Afuá",1500305,"PA",8515.1183,"2013",0.1,29.2
"Afuá",1500305,"PA",8515.1183,"2014",0.2,29.4
"Afuá",1500305,"PA",8515.1183,"2015",0,29.4
"Afuá",1500305,"PA",8515.1183,"2016",0,29.4
"Afuá",1500305,"PA",8515.1183,"2017",0.1,29.5
"Afuá",1500305,"PA",8515.1183,"2018",0,29.5
