"codigo_ibge","municipio","areas_protegidas_percent_area_total_do_municipio","desmatamento_acumulado_percent_area_total_do_municipio","desmatamento_recente_percent_area_total_do_municipio","estado","ips_amazonia","ranking_ips","necessidades_humanas_basicas","fundamentos_para_o_bem_estar","oportunidades","nutricao_e_cuidados_medicos_basicos","agua_e_saneamento","moradia","moradias_com_iluminacao_adequada_percent_de_domicilios","moradias_com_parede_adequada_percent_de_domicilios","moradias_com_piso_adequado_percent_de_domicilios","seguranca_pessoal","acesso_ao_conhecimento_basico","acesso_a_informacao_e_comunicacao","saude_e_bem_estar","qualidade_do_meio_ambiente","direitos_individuais","liberdade_individual_e_de_escolha","tolerancia_e_inclusao","acesso_a_educacao_superior","mortalidade_infantil_ate_5_anos_obitos_1_000_nasc_vivos","mortalidade_materna_obitos_maternos_100_000_nascidos_vivos","mortalidade_por_desnutricao_obitos_100_000_habitantes","mortalidade_por_doencas_infecciosas_obitos_100_000_habitantes","subnutricao_percent_da_populacao","abastecimento_de_agua_adequado_percent_da_populacao","esgoto_adequado_percent_da_populacao","indice_atendimento_de_agua_percent_da_populacao","coleta_de_lixo_adequada_percent_de_domicilios","assassinatos_de_jovens_obitos_100_000_habitantes_de_15_a_29_anos","assassinatos_de_jovens_taxa_pontuada_em_uma_escala_de_1_6_1_0_2_1_6_3_6_10_4_10_20_5_20_40_6_40","homicidios_obitos_100_000_habitantes","homicidios_categorico_taxa_pontuada_em_uma_escala_de_1_6_1_0_2_1_6_3_6_10_4_10_20_5_20_40_6_40","mortes_por_acidente_no_transito_obitos_100_000_habitantes","abandono_escolar_ensino_fundamental_percent_de_alunos","distorcao_idade_serie_ensino_fundamental_percent_de_alunos","distorcao_idade_serie_ensino_medio_percent_de_alunos","qualidade_da_educacao_ideb_ensino_fundamental","reprovacao_escolar_ensino_fundamental_percent_de_alunos","densidade_internet_banda_larga_no_de_acessos_100_domicilios","densidade_telefonia_fixa_no_de_acessos_100_domicilios","densidade_telefonia_movel_no_de_acessos_100_habitantes","densidade_tv_por_assinatura_no_de_acessos_100_domicilios","mortalidade_por_diabetes_mellitus_obitos_100_000_habitantes","mortalidade_por_cancer_obitos_100_000_habitantes","mortalidade_por_doencas_circulatorias_obitos_100_000_habitantes","mortalidade_por_doencas_respiratorias_obitos_100_000_habitantes","mortalidade_por_suicidios_obitos_100_000_habitantes","emissoes_co2_ton_co2e_habitante","focos_de_calor_na_de_focos_1_000_habitantes","diversidade_partidaria_percent_vereadores_eleitos_partidos_diferentes","transporte_publico_no_de_onibus_e_micro_onibus_1_000_habitantes","acesso_a_programas_de_direitos_humanos_categorico_0_15_0_nenhum_programa_15_todos_os_programas_de_direitos_humanos_implantados","existencia_de_acoes_para_direitos_de_minorias_categorico_0_15_0_nenhum_programa_11_todos_os_programas_de_direitos_humanos_implantados","acesso_a_cultura_esporte_e_lazer_categorica_1_10","gravidez_na_infancia_e_adolescencia_percent_de_filhos_de_maes_com_ate_19_anos","trabalho_infantil_no_de_familias_com_ao_menos_1_membro_em_trabalho_infantil_1_000_familias","vulnerabilidade_familiar_percent_de_filhos_de_maes_solteiras","violencia_contra_indigenas_no_de_casos_1_000_indigenas","violencia_contra_indigenas_taxa_pontuada_em_uma_escala_de_1_5_1_0_2_0_1_2_7_3_2_7_8_8_4_8_8_20_8_5_20_8","violencia_contra_mulheres_no_de_casos_100_000_mulheres","violencia_infantil_no_de_casos_100_000_pessoas_de_0_14_anos","violencia_infantil_taxa_pontuada_em_uma_escala_de_1_5_1_0_2_1_1_40_1_3_40_1_133_1_4_133_1_496_0_5_496_0","empregos_ensino_superior_percent_de_empregos_em_relacao_ao_total","mulheres_com_empregos_ensino_superior_percent_de_empregos_em_relacao_ao_total","ano"
1100015,"Alta Floresta D'Oeste",42.218949247,33.9420084224204,2.24702626101543,"RO",56.3887486454487,208,67.6652396201754,61.7531000064391,39.7479063097316,90.9606953683208,30.6311860952233,88.1228237700547,94.7392815758981,95.1332560834299,96.5724872626216,60.946253247103,78.3049018770532,14.3658245236538,82.9121676862933,71.4295059387563,42.6069697449198,56.7208172263912,40.4550435743492,19.2087946932661,9.00900900900901,53.6193029490616,4.39985920450546,4.35824798431031,5.5344262295082,25.5156431054462,4.55757575757576,46.72,59.188876013905,17.1625080062714,4,17.5994368180218,4,21.9992960225273,0.2,13.7,19.6,4.8,4.1,8.40846509149049,1.56555338426008,73.161307514656,0.360854503464203,43.9985920450546,52.7983104540655,118.796198521647,43.9985920450546,8.79971840901091,122.224182905626,12.9241428317641,60,4.79584653291095,12,0,3,17.7177177177177,2.51061873309604,24.3243243243243,40.241448692,5,308.726051031,42.11412929,3,29.2236631728549,19.9413750222064,2023
1100023,"Ariquemes",0,74.9872235652187,1.47799489343769,"RO",58.0275248340107,119,72.1477853623649,59.7435715320256,42.1912176076415,90.0883267657586,54.7956794110719,94.7087708812001,98.6335926003784,93.8826991801556,94.3406669434067,48.9983643914291,77.3816552528718,29.3066530249091,78.3945092189897,53.8914686313317,24.9168684511468,68.3268967930141,60.7096983730205,14.8114068133845,11.9442601194426,132.71400132714,11.8696529496088,0.952591337173755,4.96726677577741,45.3226823628338,6.21673408558655,84.7,90.8625884661202,33.7336391849953,5,24.6523561261105,5,22.8262556723245,0.8,11.5,20.5,4.85,5.9,20.7899977207567,5.36941735343868,101.61766293591,0.898201797003393,47.478611798435,77.6092692859034,130.566182445696,55.6960638404719,12.7827031765017,21.931359041403,1.31356389678627,61.5384615384615,2.78480319202359,5,0,6,17.6509621765096,0.6918500069185,28.9316522893165,103.092783505,5,70.078343995,76.07607608,3,22.4475474142585,15.4298772807428,2023
1100031,"Cabixi",0.075086174,76.0370489162248,0.547332256716203,"RO",56.3807908972982,209,63.5352349393833,53.4084101312094,52.1987276213019,75.6899036031072,41.530765606542,92.09724091396,98.9598811292719,99.2570579494799,97.6401179941003,44.823029633924,83.773141970365,14.6584747280911,63.1176419256551,52.0843819007265,28.74887001982,62.1283870137848,99.3874224877147,18.5302309638879,43.4782608695652,0,56.4759036144579,3.147128245476,4.18307086614173,40.4160475482912,27.9521674140509,48,66.2704309063893,114.348223634839,6,19.2752505782575,4,57.8257517347726,0.2,7.7,14.3,5,2.3,5.7085060193408,2.35017433063614,79.928952042629,0.310834813499113,57.8257517347726,115.651503469545,231.30300693909,57.8257517347726,57.8257517347726,103.91273712538,5.32859680284192,66.6666666666667,7.51734772552043,5,0,3,11.5942028985507,0,39.1304347826087,0,1,7.217610971,0,1,28.0244720742056,19.3408328399447,2023
1100049,"Cacoal",25.672502744,66.8171157929265,1.04404513032456,"RO",63.9831491139093,14,76.5553193184215,63.8716524820093,51.5224755412971,88.9245883952248,77.7649690733805,95.209473470054,99.5572564910701,95.1448296563109,97.7978794394602,44.3222463350268,87.7798747039812,30.0999006813735,74.1523679589073,63.4544665837753,44.7574381772332,73.3356109744279,65.7208673711998,22.2759856423274,18.8679245283019,226.415094339623,8.14967459513581,3.49271768362963,4.70307845084409,81.6073840612337,62.3604465709729,78.81,86.0723397868828,23.6574402649633,5,18.6278276460247,4,91.974899002247,0.1,5.4,14.3,5.4,0.4,19.0237726038389,5.74440304264643,113.71273838178,0.777055174967599,46.5695691150618,135.051750433679,171.143166497852,36.0914160641729,16.2993491902716,17.4501055365462,0.509164969450102,83.3333333333333,5.3555004482321,6,8,6,12.1509433962264,1.61212316116201,17.1320754716981,27.266530334,5,111.106072287,33.61344538,2,34.1950564710239,22.9355674875023,2023
1100056,"Cerejeiras",40.681228891,29.4345685184709,0.49191192698673,"RO",60.9584433642883,41,68.7049600024115,66.0767850475482,48.0935850429051,90.42949889032,44.7100455137239,97.118159307606,98.7746008169328,99.8514667656887,98.7764182424917,42.5621362979961,85.9831105636386,21.7110212400463,81.5812681243557,75.0317402621522,37.5397850603473,61.0665116886178,77.8502049764992,15.917838446156,7.43494423791822,76.0456273764258,12.3426314490249,2.32989684102884,5.13111039171253,37.6160415893056,16.337187616561,64.1,89.1570738952841,52.2739153162572,6,30.8565786225623,5,30.8565786225623,0.3,7.2,17,5.35,0.5,7.29477457318084,4.17132852643793,115.17901541522,0.763509033648268,37.0278943470748,92.569735867687,141.940261663787,24.6852628980499,6.17131572451247,50.6861318334929,2.113376429637,77.7777777777778,3.45593680572698,7,3,3,13.0111524163569,0,34.5724907063197,0,1,60.834651417,60.47777442,3,24.801093983093,16.1611138736947,2023
1100064,"Colorado do Oeste",0,82.5344147030102,0.212086619737743,"RO",60.3908587240333,54,74.469308950696,58.8383535511331,47.8649136702708,91.131859176139,71.0635786977933,85.0454436807138,99.3258426966292,60.3370786516853,93.4453781512605,50.636354248138,88.3243958890749,23.4672059301881,70.9542731856612,52.6075391996083,26.4593490693526,59.2359784306026,89.3377095315032,16.426617649625,4.67289719626168,467.289719626168,6.43335048893464,0,5.64276048714479,78.314606741573,6.03301081388731,86.53,87.4719101123596,29.585798816568,5,25.7334019557385,5,12.8667009778693,0.48,6.2,13.2,5.65,0.7,10.5715506474724,3.74898661232718,120.35101557878,0.801397927211376,38.6001029336078,135.100360267627,167.267112712301,90.0669068450849,12.8667009778693,40.7641451435926,0.262933017813712,63.6363636363636,6.69068450849202,2,4,3,12.807881773399,6.12355711515375,46.7980295566502,0,1,25.555839509,9.96512207,2,23.6639716032341,17.8794452113324,2023
1100072,"Corumbiara",9.072055151,71.0598670882457,0.378450082151919,"RO",53.6666807824485,419,56.5565121009176,57.2481994298846,47.1953308165433,83.8526473571124,21.7748377249005,72.5392271089959,93.6626281453867,69.0587138863001,73.1290092658589,48.0593362126616,83.1742691115931,9.71899540663001,81.3396655582226,54.7598676430928,30.2268065720758,54.959927006613,88.9541406125751,14.6404490749094,56.0747663551402,0,6.85764276500592,2.30973553528122,4.46382760389944,17.148182665424,16.3836163836164,29.5,47.3438956197577,28.2812293892626,5,13.8504155124654,4,69.2520775623269,1.34,10,17.7,5.35,1.3,2.95306296086218,1.88598979013045,52.878615995462,0.426592928719985,41.5512465373961,69.2520775623269,110.803324099723,27.7008310249308,13.8504155124654,156.558765908843,5.24673851389677,44.4444444444444,4.84764542936288,8,0,2,14.9532710280374,1.48920327624721,42.0560747663551,0,1,30.07518797,21.16402116,2,23.6812251843449,14.322178105502,2023
1100080,"Costa Marques",39.093051591,39.3945279386447,5.62840890617743,"RO",55.2530588220197,277,63.3815623852048,57.8916640274121,44.4859500534421,89.5758516450453,24.3471392384545,77.663616942234,90.937640197398,98.5643786451323,54.3854972007465,61.9396417150854,71.9155695935757,7.11785166842273,84.9618779308772,67.5713569167729,31.6276725775407,48.7651686620541,88.7090096060279,8.84194936814568,26.3157894736842,0,5.31971486328333,0,4.97630331753555,15.11888739345,69.3046660567246,18.85,61.0139075818753,18.8643652141105,4,15.95914458985,4,15.95914458985,3.1,19.9,22,4.7,4,3.9665022072189,0.82229723881243,36.551545053233,0.330217259586255,42.5577189062666,47.87743376955,37.2380040429833,37.2380040429833,5.31971486328333,149.300959581006,11.5814074266424,55.5555555555556,1.915097350782,6,4,2,22.6315789473684,0.8587376556462,33.1578947368421,0,1,32.963410614,44.28545998,2,13.347182549987,9.24435211633342,2023
1100098,"Espigão D'Oeste",31.05634351,47.0938227790414,1.01987211381781,"RO",58.5827412683882,97,66.6133390766401,63.0768033461427,46.0580813823816,90.5054948534934,36.9759837030652,82.5412089669886,97.4440219687368,62.0616814533164,94.3764266445321,56.4306687830133,85.0546316072424,14.1405239600053,84.786469480385,68.3255883369382,21.9378023192999,63.1835875896822,85.2580264625266,13.8529091580178,10.6157112526539,42.016806722689,9.17571494112249,3.05857164704083,5.05936463792919,37.3046049852134,5.42652485348382,48.41,74.2289818335446,24.9625561657514,5,18.351429882245,4,18.351429882245,0.9,9,11.2,5.2,0.9,9.18209175275431,1.89746230825937,62.713199430458,0.239581124339827,18.351429882245,100.932864352347,100.932864352347,27.5271448233675,9.1757149411225,42.2286756666479,1.39355933230331,63.6363636363636,5.10781465055819,3,0,4,15.4989384288747,0,20.5944798301486,0,1,73.624148721,26.36783125,2,20.9639795207368,14.4506043806235,2023
1100106,"Guajará-Mirim",90.501633754,6.41324341876374,4.13140134453007,"RO",61.8028379988753,29,72.3951369581939,66.4137142387224,46.5996627997095,88.031977398886,43.318270382088,87.5083325340499,89.5233427276069,95.2456806763876,84.1697026677635,70.7219675177519,72.3668799087907,17.764920386152,83.2318828668519,92.291173793095,43.371559248701,48.1110771085512,85.2193151758198,9.69669966576622,23.3100233100233,466.200466200466,2.14795085488444,6.44385256465332,4.5404032386093,33.8561450802598,74.4167861331943,43.31,78.7158436466119,27.7669706575581,5,4.29590170976888,2,12.8877051293066,1.6,21.7,28.6,4.6,1.6,7.79298955891755,3.29338021166277,85.497549541871,1.45518147595709,30.0713119683822,66.5864765014177,83.7700833404932,51.5508205172266,6.44385256465332,36.9598074199287,7.4792243767313,76.9230769230769,1.09545493599106,7,8,2,20.8624708624709,2.35045246209895,81.1188811188811,2.246686138,2,25.902262131,15.77162684,2,14.7666737694439,10.0575324952056,2023
