"Nr","Lat","Long","Municipio","CodIbge","Estado","Bioma","AreaKm2","Desmatamento2000","incremento2001","incremento2002","incremento2003","incremento2004","incremento2005","incremento2006","incremento2007","incremento2008","incremento2009","incremento2010","incremento2011","incremento2012","incremento2013","incremento2014","incremento2015","incremento2016","incremento2017","incremento2018","incremento2019","incremento2020","incremento2021","incremento2022","Floresta2022","NaoFloresta","Hidrografia"
1,-12.4727799999999,-62.1378510060821,"Alta Floresta D'Oeste",1100015,"RO","Amazônia",7074.54823,1751.5,73.1,112.5,66.2,76.5,82,21.5,15.6,26.3,5,1.8,6.8,5.3,6.7,10.3,5.1,15.6,19.3,13.8,30,25.4,24.9,24.2,2878.1,1745.1,19.7
2,-9.97823083299994,-63.0563718481679,"Ariquemes",1100023,"RO","Amazônia",4390.90053,2610.8,78,123.7,65.9,83.4,84.4,16.6,31.2,8.3,8.6,4.1,3.7,7.1,12.4,10.4,10.2,31.4,20.7,16.8,18.5,22.4,14.9,11.8,944,91.2,0.2
3,-13.505398889,-60.6770892048431,"Cabixi",1100031,"RO","Amazônia",1308.65535,842.9,30.2,11.3,27.6,21.4,17,0.6,5.2,3.8,0.9,1.2,0.7,1,1.4,5,7.2,6.9,1.9,3.2,4.7,1,4.4,0.7,1193.5,11.6,2.3
4,-11.3120824999999,-61.2509253401086,"Cacoal",1100049,"RO","Amazônia",3794.92001,2293.4,19.4,16.9,35,44.1,39.3,4.6,10.3,4.6,3,1.7,2.3,3.3,1.8,4.3,2.3,2.7,8,4.9,5.9,5,18.3,3.2,3536.1,27.3,6.1
5,-13.182040278,-61.2015147859349,"Cerejeiras",1100056,"RO","Amazônia",2785.15887,727.6,8,2.5,9.7,18.7,16.9,3.6,4.5,2.2,0.6,0.9,1.7,1.3,0.6,2.6,2.9,6.3,1.7,0.9,1,0.9,3.1,4.5,685.8,1271.7,0
6,-13.1372222219999,-60.5370802132336,"Colorado do Oeste",1100064,"RO","Amazônia",1449.24763,1138.4,4.3,1.8,5,10.4,16.5,0.8,1.9,1.7,1,0.1,0.7,0.2,0.5,0.6,5.6,1.2,1.8,0.5,1.8,0.7,1.3,1.2,1334,54.6,0
7,-12.8811208334999,-61.2234395842354,"Corumbiara",1100072,"RO","Amazônia",3061.3372,1987.3,12,7,70.2,9.6,38.6,2.1,4.4,4.4,0.8,1.3,3.2,2.4,0.7,1.7,3.2,1.7,2.7,6.6,3.8,4.1,4.1,3.4,778.4,100.1,0
8,-12.0849630555,-64.1876514785168,"Costa Marques",1100080,"RO","Amazônia",4970.82298,677.7,96.7,140.3,148.1,180.5,101.5,82.8,54.7,101.4,18.1,21,17.5,17.1,30.7,13.9,24,24.7,25.7,29.8,42.4,36.5,34.8,39.3,2409.4,558,24.1
9,-11.3677394445,-60.7423581566091,"Espigão D'Oeste",1100098,"RO","Amazônia",4518.19996,1791.7,40.2,23.4,57,52.1,67.1,3.3,15.7,10.7,4.9,3,1.5,7.2,2.3,2.7,1.5,2.6,4.3,5.5,6.9,4.2,11.8,5.8,4014.9,302.4,1.1
10,-11.3235699999999,-64.41638309165,"Guajará-Mirim",1100106,"RO","Amazônia",24831.29585,1135,48.4,7.9,38.1,76,45.3,18.4,8.5,16.7,8,3.7,6.2,6.9,24.3,10.3,21.1,13,4.2,15.7,18.4,34.6,27.1,23.9,19201.8,3853,144.8
