cod_ibge,nome_mun,sigla_uf,rede_geral_2000,rede_geral_2010,rede_geral_2022,outras_2000,outras_2010,outras_2022
1100015,Alta Floresta D'Oeste,RO,7.12,24.4,26.48,92.88,75.6,73.51
1100023,Ariquemes,RO,29.4,35.25,54.34,70.6,64.75,45.67
1100031,Cabixi,RO,5.02,24.0,39.3,94.98,75.99,60.71
1100049,Cacoal,RO,65.35,76.1,80.07,34.65,23.9,19.94
1100056,Cerejeiras,RO,22.92,33.96,49.48,77.08,66.05,50.52
1100064,Colorado do Oeste,RO,48.37,60.7,70.81,51.63,39.31,29.2
1100072,Corumbiara,RO,0.04,12.99,20.99,99.96,87.02,79.02
1100080,Costa Marques,RO,29.03,16.48,19.35,70.96,83.52,80.66
1100098,Espigão D'Oeste,RO,21.1,27.47,44.87,78.9,72.53,55.12
1100106,Guajará-Mirim,RO,41.5,44.74,40.46,58.5,55.26,59.54
1100114,Jaru,RO,13.39,24.58,46.12,86.61,75.42,53.88
1100122,Ji-Paraná,RO,32.46,46.4,59.95,67.54,53.61,40.04
1100130,Machadinho D'Oeste,RO,26.85,31.63,40.39,73.15,68.37,59.61
1100148,Nova Brasilândia D'Oeste,RO,17.82,28.3,36.12,82.18,71.69,63.89
1100155,Ouro Preto do Oeste,RO,29.37,46.41,56.66,70.63,53.59,43.34
1100189,Pimenta Bueno,RO,60.32,70.53,76.36,39.68,29.47,23.64
1100205,Porto Velho,RO,35.24,37.61,36.72,64.77,62.39,63.28
1100254,Presidente Médici,MA,61.19,76.71,86.08,38.8,23.29,13.93
1100262,Rio Crespo,RO,15.56,8.12,9.92,84.44,91.88,90.08
1100288,Rolim de Moura,RO,31.8,49.79,66.36,68.2,50.21,33.64
1100296,Santa Luzia D'Oeste,RO,8.74,19.05,33.61,91.27,80.95,66.39
1100304,Vilhena,RO,91.69,94.44,92.88,8.3,5.54,7.12
1100320,São Miguel do Guaporé,RO,1.07,7.35,15.69,98.93,92.64,84.31
1100338,Nova Mamoré,RO,5.64,6.66,9.27,94.36,93.33,90.73
1100346,Alvorada D'Oeste,RO,29.77,44.06,52.87,70.23,55.94,47.13
1100379,Alto Alegre dos Parecis,RO,1.0,6.95,19.8,99.0,93.04,80.2
1100403,Alto Paraíso,RO,2.63,6.05,8.8,97.37,93.95,91.2
1100452,Buritis,RO,0.35,0.34,15.76,99.65,99.66,84.24
1100502,Novo Horizonte do Oeste,RO,7.94,13.64,27.2,92.05,86.36,72.81
1100601,Cacaulândia,RO,11.96,9.46,13.96,88.04,90.54,86.05
1100700,Campo Novo de Rondônia,RO,0.11,21.97,19.02,99.89,78.03,80.98
1100809,Candeias do Jamari,RO,51.97,55.13,53.47,48.02,44.86,46.53
1100908,Castanheiras,RO,19.49,25.63,30.3,80.51,74.36,69.7
1100924,Chupinguaia,RO,43.34,62.6,61.7,56.66,37.4,38.3
1100940,Cujubim,RO,20.53,10.43,10.72,79.47,89.57,89.28
1101005,Governador Jorge Teixeira,RO,0.14,0.5,2.01,99.87,99.5,98.0
1101104,Itapuã do Oeste,RO,39.4,29.77,7.77,60.6,70.24,92.23
1101203,Ministro Andreazza,RO,10.89,18.87,28.24,89.1,81.12,71.76
1101302,Mirante da Serra,RO,0.73,14.51,26.34,99.27,85.49,73.66
1101401,Monte Negro,RO,12.31,28.5,33.91,87.69,71.51,66.09
1101435,Nova União,RO,2.65,9.29,17.76,97.34,90.72,82.24
1101450,Parecis,RO,17.42,26.85,30.36,82.58,73.14,69.64
1101468,Pimenteiras do Oeste,RO,1.07,46.86,47.57,98.93,53.14,52.43
1101476,Primavera de Rondônia,RO,36.36,50.97,58.69,63.63,49.02,41.31
1101484,São Felipe D'Oeste,RO,16.53,21.44,32.42,83.47,78.56,67.59
1101492,São Francisco do Guaporé,RO,0.11,0.02,4.83,99.89,99.98,95.17
1101500,Seringueiras,RO,0.07,9.53,21.39,99.92,90.47,78.61
1101559,Teixeirópolis,RO,5.48,9.83,10.3,94.52,90.17,89.69
1101609,Theobroma,RO,0.32,10.3,11.91,99.68,89.7,88.09
1101708,Urupá,RO,7.12,15.59,30.86,92.88,84.42,69.14
1101757,Vale do Anari,RO,0.1,14.29,11.57,99.89,85.7,88.43
1101807,Vale do Paraíso,RO,0.12,5.14,0.0,99.88,94.86,100.0
1200013,Acrelândia,AC,15.2,29.0,27.15,84.81,71.0,72.85
1200054,Assis Brasil,AC,46.11,49.71,56.55,53.89,50.29,43.45
1200104,Brasiléia,AC,23.79,55.77,61.3,76.21,44.24,38.69
1200138,Bujari,AC,23.76,40.13,40.21,76.24,59.87,59.79
1200179,Capixaba,AC,4.61,39.06,39.13,95.39,60.93,60.87
1200203,Cruzeiro do Sul,AC,28.24,51.36,66.58,71.76,48.66,33.42
1200252,Epitaciolândia,AC,46.4,60.42,61.94,53.6,39.58,38.06
1200302,Feijó,AC,5.39,13.5,17.29,94.61,86.49,82.71
