cod_ibge,nome_mun,sigla_uf,area_urb_densa_km2,area_urb_pouco_densa_km2_2019,total_area_urb_km2_2019,lot_vazio_km2_2019,area_total_map_km2_2019,outros_km2_2019,vazios_intraurb_km2_2019,vazios_km2_2019
1100015,Alta Floresta D'Oeste,RO,5.12,1.33,6.46,0.13,6.58,0.11,0.0,0.0
1100023,Ariquemes,RO,30.28,2.98,33.26,0.91,34.17,2.98,0.58,0.0
1100031,Cabixi,RO,1.36,0.88,2.24,0.0,2.24,0.06,0.0,0.0
1100049,Cacoal,RO,24.6,3.45,28.04,0.97,29.01,3.17,0.0,0.0
1100056,Cerejeiras,RO,5.43,0.88,6.31,0.38,6.7,0.22,0.0,0.0
1100064,Colorado do Oeste,RO,5.91,3.28,9.18,0.0,9.18,1.24,0.0,0.0
1100072,Corumbiara,RO,1.34,1.37,2.72,0.0,2.72,0.01,0.0,0.0
1100080,Costa Marques,RO,6.06,0.24,6.3,0.0,6.3,0.22,0.0,0.0
1100098,Espigão D'Oeste,RO,8.65,1.15,9.8,0.37,10.17,1.03,0.0,0.0
1100106,Guajará-Mirim,RO,14.21,2.08,16.28,1.24,17.53,0.62,0.0,0.0
1100114,Jaru,RO,15.13,0.71,15.84,0.33,16.17,0.81,0.17,0.0
1100122,Ji-Paraná,RO,41.73,1.64,43.37,1.78,45.16,2.58,0.0,0.0
1100130,Machadinho D'Oeste,RO,7.5,1.44,8.95,1.06,10.01,0.75,0.0,0.0
1100148,Nova Brasilândia D'Oeste,RO,4.77,0.08,4.85,0.0,4.85,0.04,0.0,0.0
1100155,Ouro Preto do Oeste,RO,9.47,0.36,9.83,0.22,10.05,0.71,0.0,0.0
1100189,Pimenta Bueno,RO,10.44,2.56,13.0,0.82,13.82,1.52,0.0,0.0
1100205,Porto Velho,RO,121.24,21.86,143.09,7.63,150.73,13.05,1.4,0.0
1100254,Presidente Médici,MA,1.24,0.23,1.47,0.0,1.47,0.0,0.0,0.0
1100262,Rio Crespo,RO,0.8,0.07,0.87,0.0,0.87,0.1,0.0,0.0
1100288,Rolim de Moura,RO,20.81,2.41,23.22,0.43,23.66,1.13,0.0,0.0
1100296,Santa Luzia D'Oeste,RO,2.19,0.08,2.27,0.08,2.34,0.05,0.0,0.0
1100304,Vilhena,RO,31.1,8.84,39.93,0.54,40.47,6.28,0.0,0.0
1100320,São Miguel do Guaporé,RO,5.77,0.63,6.4,0.24,6.64,0.0,0.0,0.0
1100338,Nova Mamoré,RO,7.99,3.52,11.51,0.15,11.66,0.52,0.0,0.0
1100346,Alvorada D'Oeste,RO,4.01,0.61,4.61,0.0,4.61,0.03,0.0,0.0
1100379,Alto Alegre dos Parecis,RO,2.46,0.31,2.77,0.0,2.77,0.03,0.0,0.0
1100403,Alto Paraíso,RO,3.17,1.43,4.6,0.0,4.6,0.21,0.0,0.0
1100452,Buritis,RO,7.87,0.0,7.87,0.04,7.91,0.37,0.0,0.0
1100502,Novo Horizonte do Oeste,RO,1.91,0.13,2.03,0.05,2.08,0.09,0.0,0.0
1100601,Cacaulândia,RO,1.0,0.25,1.25,0.0,1.25,0.02,0.0,0.0
1100700,Campo Novo de Rondônia,RO,1.45,0.79,2.24,0.0,2.24,0.0,0.0,0.0
1100809,Candeias do Jamari,RO,7.9,1.38,9.28,0.22,9.5,1.18,0.0,0.0
1100908,Castanheiras,RO,0.92,0.0,0.92,0.0,0.92,0.0,0.0,0.0
1100924,Chupinguaia,RO,2.09,2.41,4.5,0.28,4.78,0.28,0.0,0.0
1100940,Cujubim,RO,5.42,0.18,5.6,0.0,5.6,0.95,0.0,0.0
1101005,Governador Jorge Teixeira,RO,1.49,0.0,1.49,0.0,1.49,0.03,0.0,0.0
1101104,Itapuã do Oeste,RO,3.47,0.0,3.47,0.1,3.57,0.3,0.0,0.0
1101203,Ministro Andreazza,RO,1.33,0.13,1.46,0.0,1.46,0.07,0.0,0.0
1101302,Mirante da Serra,RO,2.86,0.0,2.86,0.0,2.86,0.09,0.0,0.0
1101401,Monte Negro,RO,2.65,0.06,2.71,0.35,3.05,0.12,0.0,0.0
1101435,Nova União,RO,0.61,0.19,0.81,0.0,0.81,0.0,0.0,0.0
1101450,Parecis,RO,0.82,0.06,0.88,0.0,0.88,0.04,0.0,0.0
1101468,Pimenteiras do Oeste,RO,1.04,0.23,1.27,0.06,1.32,0.22,0.0,0.0
1101476,Primavera de Rondônia,RO,1.07,0.17,1.24,0.0,1.24,0.0,0.0,0.0
1101484,São Felipe D'Oeste,RO,1.29,0.0,1.29,0.0,1.29,0.0,0.0,0.0
1101492,São Francisco do Guaporé,RO,5.86,0.28,6.14,0.1,6.24,0.09,0.0,0.0
1101500,Seringueiras,RO,2.88,0.26,3.14,0.21,3.35,0.12,0.0,0.0
1101559,Teixeirópolis,RO,0.9,0.0,0.9,0.0,0.9,0.05,0.0,0.0
1101609,Theobroma,RO,1.81,0.12,1.93,0.07,2.0,0.01,0.0,0.0
1101708,Urupá,RO,3.18,0.23,3.41,0.0,3.41,0.08,0.0,0.0
1101757,Vale do Anari,RO,2.54,0.29,2.82,0.09,2.91,0.12,0.0,0.0
1101807,Vale do Paraíso,RO,1.25,0.24,1.49,0.0,1.49,0.01,0.0,0.0
1200013,Acrelândia,AC,2.06,5.31,7.37,0.15,7.52,0.0,0.0,0.0
1200054,Assis Brasil,AC,0.99,1.05,2.04,0.15,2.19,0.14,0.0,0.0
1200104,Brasiléia,AC,3.52,3.11,6.63,0.0,6.63,0.02,0.0,0.0
1200138,Bujari,AC,0.91,5.46,6.37,0.0,6.37,0.0,0.0,0.0
1200179,Capixaba,AC,0.95,4.89,5.84,0.0,5.84,0.0,0.0,0.0
1200203,Cruzeiro do Sul,AC,15.13,11.78,26.91,0.71,27.62,0.97,0.0,0.0
1200252,Epitaciolândia,AC,2.93,2.0,4.93,0.28,5.21,0.0,0.0,0.0
1200302,Feijó,AC,4.07,2.53,6.6,0.09,6.69,0.22,0.0,0.0
1200328,Jordão,AC,1.11,0.92,2.02,0.0,2.02,0.1,0.0,0.0
1200336,Mâncio Lima,AC,1.9,5.53,7.43,0.29,7.71,0.0,0.0,0.0
1200344,Manoel Urbano,AC,1.82,0.58,2.4,0.0,2.4,0.43,0.0,0.0
1200351,Marechal Thaumaturgo,AC,1.26,3.12,4.38,0.0,4.38,0.22,0.0,0.0
1200385,Plácido de Castro,AC,2.07,2.97,5.04,0.11,5.16,0.0,0.0,0.0
1200393,Porto Walter,AC,1.15,1.5,2.65,0.0,2.65,0.09,0.0,0.0
1200401,Rio Branco,AC,63.59,23.83,87.42,2.83,90.25,0.15,0.0,0.0
1200427,Rodrigues Alves,AC,2.08,2.29,4.36,0.0,4.36,0.0,0.0,0.0
1200435,Santa Rosa do Purus,AC,0.72,1.59,2.31,0.0,2.31,0.13,0.0,0.0
1200450,Senador Guiomard,AC,3.12,3.39,6.51,0.75,7.27,0.06,0.0,0.0
1200500,Sena Madureira,AC,5.17,3.45,8.61,0.0,8.61,0.21,0.0,0.0
1200609,Tarauacá,AC,4.17,3.33,7.5,0.1,7.59,0.27,0.0,0.0
1200708,Xapuri,AC,2.36,0.88,3.23,0.1,3.33,0.14,0.0,0.0
1200807,Porto Acre,AC,1.92,3.64,5.56,0.0,5.56,0.0,0.0,0.0
1300029,Alvarães,AM,1.56,0.83,2.4,0.0,2.4,0.0,0.0,0.0
1300060,Amaturá,AM,1.4,1.3,2.7,0.0,2.7,0.0,0.0,0.0
1300086,Anamã,AM,0.89,1.6,2.49,0.0,2.49,0.0,0.0,0.0
1300102,Anori,AM,1.89,1.64,3.53,0.0,3.53,0.12,0.0,0.0
1300144,Apuí,AM,3.14,2.55,5.69,0.2,5.89,0.29,0.0,0.0
