cod_ibge,nome_mun,sigla_uf,rede_geral_2022,fossa_2022,outra_2022,nada_2022,rede_geral_2010,fossa_2010,outra_2010,nada_2010,rede_geral_2000,fossa_2000,outra_2000,nada_2000
1100015,Alta Floresta D'Oeste,RO,0.47,18.44,80.95,0.14,0.29,1.95,94.24,3.51,0.02,0.74,84.60000000000001,14.66
1100023,Ariquemes,RO,1.99,31.58,66.41,0.03,1.17,7.74,90.46,0.64,0.39,13.71,80.53,5.37
1100031,Cabixi,RO,1.58,14.79,83.63000000000001,0.0,0.1,20.91,78.22,0.76,0.0,1.13,84.47,14.4
1100049,Cacoal,RO,67.19,11.59,21.17,0.05,40.1,13.93,45.08,0.89,13.25,8.67,68.62,9.46
1100056,Cerejeiras,RO,57.99,28.95,13.06,0.0,0.09,16.64,82.75999999999999,0.5,0.04,0.87,96.64,2.46
1100064,Colorado do Oeste,RO,2.62,30.7,66.67000000000002,0.02,0.5,4.67,94.0,0.82,0.35,0.73,92.96,5.96
1100072,Corumbiara,RO,0.7,2.39,96.59,0.32,0.19,11.36,85.74,2.72,0.0,0.34,68.64,31.02
1100080,Costa Marques,RO,0.05,15.67,83.86999999999999,0.41,0.14,7.77,89.83,2.27,0.04,15.29,71.09000000000002,13.57
1100098,Espigão D'Oeste,RO,6.6,24.39,68.82,0.18,0.38,13.39,85.12000000000002,1.12,0.2,0.73,79.89999999999999,19.18
1100106,Guajará-Mirim,RO,9.01,28.25,60.06,2.68,8.36,13.83,75.51,2.3,8.52,2.16,85.49,3.83
1100114,Jaru,RO,1.78,26.15,72.03,0.03,0.87,2.49,95.69,0.95,1.17,10.77,81.03000000000002,7.03
1100122,Ji-Paraná,RO,7.57,30.26,62.09,0.08,3.55,16.88,79.0,0.57,2.51,6.85,86.32000000000001,4.31
1100130,Machadinho D'Oeste,RO,3.13,6.21,90.3,0.37,0.13,1.99,93.15,4.73,0.09,1.2,69.72000000000001,28.99
1100148,Nova Brasilândia D'Oeste,RO,7.0,14.38,78.53,0.09,0.12,3.72,93.23,2.92,0.0,2.56,71.05,26.39
1100155,Ouro Preto do Oeste,RO,2.23,13.76,83.98,0.04,1.06,9.11,89.16,0.67,0.67,6.09,85.2,8.05
1100189,Pimenta Bueno,RO,9.44,17.5,73.0,0.06,8.01,30.33,61.16,0.51,8.34,3.49,83.56,4.6
1100205,Porto Velho,RO,22.99,36.03,40.81,0.17,10.08,33.33,55.52,1.08,8.89,52.6,33.7,4.81
1100254,Presidente Médici,MA,0.87,0.36,96.82,1.95,1.83,49.69,38.9,9.57,0.09,3.39,13.58,82.94
1100262,Rio Crespo,RO,1.28,2.48,95.76,0.48,0.0,22.57,74.52,2.91,0.0,5.32,72.88999999999999,21.79
1100288,Rolim de Moura,RO,3.62,26.26,70.09,0.03,0.66,14.32,84.36,0.66,0.26,0.91,93.99,4.83
