geocode,state_acronym,feature_id,biome,class_id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1100015,RO,58776,Amazônia,3,450484.5988,441683.061,432905.7135,421727.719,415320.2924,408831.713,405288.1286,401999.528,399892.8008,399515.7727,398915.111,398246.8517,397576.7805,398215.4535,397840.5841,395723.9548,393172.5946,390143.1078,386524.6129,381626.2493,376914.3623,371808.9719,363346.3774
1100015,RO,58776,Amazônia,4,18287.25305,18135.46862,17969.70368,17645.44007,17313.60707,17219.74083,17371.21059,17330.8259,17119.13236,17299.91054,17407.16091,17649.02658,17929.62478,18046.21438,18074.92187,18098.53523,18076.09382,18129.44196,18192.19121,18301.63885,18149.86077,17479.21546,17245.1828
1100015,RO,58776,Amazônia,6,1469.581854,1454.206528,1433.952794,1407.50218,1398.595327,1386.538718,1359.482493,1333.644477,1301.88202,1295.942913,1293.501777,1293.506609,1279.892035,1275.530057,1272.826258,1266.101782,1261.99982,1256.767919,1250.220658,1235.557508,1225.25308,1185.364271,875.1749682
1100015,RO,58776,Amazônia,11,63184.83812,62893.80038,62798.58645,63824.85646,65747.91826,66745.57702,63906.93154,64722.23074,63720.69883,65222.37015,63098.32755,63299.08044,62673.67961,60175.47518,59993.44126,59219.81089,58316.20955,57184.78041,54729.33486,54080.28696,52074.29599,53881.34804,55109.82245
1100015,RO,58776,Amazônia,12,27194.79164,22575.34579,19845.42103,20468.5424,18870.50187,18978.56017,24586.13059,23199.42288,24597.4912,22901.54963,26229.76123,25765.60556,26187.24728,29190.59314,28929.12879,30427.77523,31215.73462,32524.64204,34829.65916,35405.62144,39093.22004,35638.95753,26916.23715
1100015,RO,58776,Amazônia,29,674.0886499,674.6136588,674.526164,674.001317,674.0012331,673.7392079,673.8265743,673.6518307,673.6520366,674.0891382,674.0015643,674.2638703,674.7882357,674.3510569,674.0888492,674.6133068,674.7005877,675.2251514,675.0501073,675.2250547,674.7878111,675.4000329,679.4215
1100015,RO,58776,Amazônia,15,137249.3151,147198.0451,156688.8733,168468.6312,175401.3998,181796.7676,185447.5066,188870.4332,191440.4361,191830.1431,192425.3278,192976.0823,193510.5464,193447.9697,193839.4375,195750.627,198231.7723,200684.5658,204039.5009,208658.1325,212070.3234,219390.571,234954.382
1100015,RO,58776,Amazônia,39,0.699724866,1.399790173,1.487762097,0.78769679,4.63864386,11.81537121,8.751575336,9.009756165,8.047556995,0.0,1.750317322,1.750317322,0.0,0.0,35.50416554,68.12190056,48.01204205,54.14621174,137.7628943,301.8442558,486.9990726,869.5667314,870.8790565
1100015,RO,58776,Amazônia,41,4.900789307,40.95300073,41.65256318,19.59876945,67.89178404,220.8177829,294.6617254,203.6788298,125.1184622,90.29669068,71.75269737,88.72489125,102.7255012,81.89771266,116.7573474,326.9230395,496.8529827,701.7834554,876.0265512,666.4814433,530.1277783,137.498448,159.9135418
1100015,RO,58776,Amazônia,24,437.0583489,438.1960448,442.7469144,444.2347029,454.7367424,458.2374271,460.8629185,466.2889801,470.4022941,471.7150653,473.7279642,475.4783287,480.3793215,484.6676931,494.2071372,500.5083154,506.6345561,509.2601011,513.8109537,516.9615563,518.186812,517.3991756,518.6244041
1100015,RO,58776,Amazônia,33,6875.037211,10767.07345,13059.58637,11180.93671,10608.66737,9538.656218,6464.582979,7053.100075,6512.58885,6560.460576,5271.827669,5391.879962,5446.586879,4270.011,4591.35324,3805.27897,3861.296943,3998.093766,4093.993124,4394.251604,4124.22328,4277.696413,5185.799436
1100015,RO,58776,Amazônia,0,0.087167877,0.087167877,0.0,0.0,0.0,0.087167969,0.174335938,0.435839752,0.0,0.0,0.0,0.0,0.0,0.087167877,0.0,0.0,0.348671875,0.435847583,0.087175244,0.0,0.610175507,0.261503632,0.435839569
1100023,RO,58777,Amazônia,3,228375.7524,219969.6742,207544.6679,195995.3547,186898.1408,178306.7424,175256.4769,174486.6423,173431.2406,172825.2952,172582.1639,171616.0166,170200.7035,167712.5248,165043.6597,159892.686,155368.611,151492.5549,148184.5833,144580.0132,142191.3011,139649.4292,135522.7309
1100023,RO,58777,Amazônia,4,10126.82324,10099.66811,9812.918623,9077.898762,8907.482211,8755.694232,8616.146166,8614.388159,8601.183156,8592.191566,8487.403063,8351.075852,8366.042813,8215.728854,7741.512625,7760.098256,7701.077828,7441.13681,7210.267348,7047.208128,6902.915736,6402.311586,5710.804033
1100023,RO,58777,Amazônia,6,103.6788541,97.68872005,95.92715795,91.78682943,87.73461049,80.86520842,80.77667839,80.77689526,77.3417567,74.61102557,73.28942455,74.08214164,73.28936314,70.11796088,65.0080132,61.13232569,60.16383064,59.81171063,57.34554465,54.79080084,52.3243849,47.91966252,33.20714141
1100023,RO,58777,Amazônia,11,1416.64815,1347.239891,1536.786278,2191.069057,2127.31268,2039.723739,2021.932751,1956.753628,1841.182101,1754.59619,1638.945437,1448.260784,1308.226989,1306.022123,1243.739649,1651.53174,1491.05797,1481.014181,1394.199336,1344.884476,1395.015987,1412.874363,1053.750706
1100023,RO,58777,Amazônia,12,2744.719795,2670.467562,2581.934786,2440.106106,2392.626536,2349.901422,2332.821865,2279.70656,2231.687079,2248.071937,2209.312759,2224.991928,2183.226329,2214.851833,2160.133911,1919.438384,1848.470124,1832.630066,1843.993408,1825.402847,1904.522077,2013.913438,687.5910282
1100023,RO,58777,Amazônia,29,2018.224904,2018.224968,2019.986864,2020.603607,2021.219992,2018.753823,2017.608753,2018.401498,2020.075318,2021.220321,2018.841899,2018.489581,2017.520474,2015.494424,2014.525446,2015.318245,2014.34931,2013.115781,2009.944564,2007.213489,2006.508853,2005.540359,2002.280815
1100023,RO,58777,Amazônia,15,191690.3645,200133.2711,212520.5053,223925.0102,233041.1423,241620.9721,244580.9355,245235.0006,246137.6213,246687.7084,246937.9366,247713.7479,249009.5146,251307.3292,253071.9618,255789.1525,258971.2175,261890.3784,263906.1222,266786.2649,268411.0552,271202.1176,277161.4358
