ano,codigo_ibge,nome_mun,agropecuaria,industria,servicos,admin,bruto_total,impostos,pib,pib_pc
2010,1100015,Alta Floresta D'Oeste,69260.391,16118.534,62496.185,93244.656,241119.767,20957.111,262076.878,10731.18
2010,1100023,Ariquemes,73711.643,287138.585,494946.267,343867.731,1199664.227,165029.553,1364693.78,15103.86
2010,1100031,Cabixi,24300.822,3252.506,12677.21,25170.235,65400.772,4210.342,69611.114,11033.62
2010,1100049,Cacoal,95259.203,182051.537,465447.325,298454.309,1041212.374,145281.717,1186494.091,15095.15
2010,1100056,Cerejeiras,28976.415,19734.484,80724.991,63018.27,192454.16,29567.029,222021.189,13037.06
2010,1100064,Colorado do Oeste,35817.583,18305.912,54678.238,67462.041,176263.775,16828.821,193092.596,10380.21
2010,1100072,Corumbiara,51205.533,7946.464,15590.944,34012.729,108755.67,6012.602,114768.272,13038.89
2010,1100080,Costa Marques,19816.241,7732.292,22863.415,51077.726,101489.674,6093.379,107583.052,7852.78
2010,1100098,Espigão D'Oeste,56432.947,34215.342,88492.279,102086.922,281227.489,30560.346,311787.835,10848.19
2010,1100106,Guajará-Mirim,18630.443,22950.667,273295.234,156792.097,471668.441,126498.612,598167.052,14363.13
2010,1100114,Jaru,103000.873,151693.022,262583.715,191572.396,708850.008,88446.425,797296.433,15319.96
2010,1100122,Ji-Paraná,72552.843,317328.199,784713.851,410598.27,1585193.164,270165.531,1855358.695,15913.94
2010,1100130,Machadinho D'Oeste,58163.619,24630.778,58462.53,111859.05,253115.977,19084.937,272200.914,8750.47
2010,1100148,Nova Brasilândia D'Oeste,37228.535,10915.632,39380.604,73122.032,160646.803,13004.487,173651.29,8750.38
2010,1100155,Ouro Preto do Oeste,77935.249,46098.252,161802.586,143686.672,429522.76,47978.564,477501.323,12585.36
2010,1100189,Pimenta Bueno,36970.636,91904.143,201280.193,121974.985,452129.957,88731.605,540861.562,16023.63
2010,1100205,Porto Velho,183896.881,2648995.951,3337276.471,1617721.93,7787891.232,1305932.592,9093823.824,21319.08
2010,1100254,Presidente Médici,50118.072,20024.023,62352.32,82576.134,215070.549,20518.312,235588.861,10555.53
2010,1100262,Rio Crespo,18631.71,2605.59,3949.819,14683.719,39870.838,2063.187,41934.024,12645.97
2010,1100288,Rolim de Moura,45477.03,100574.664,224638.449,188566.01,559256.152,68592.068,627848.22,12390.44
2010,1100296,Santa Luzia D'Oeste,27568.193,16087.47,16202.064,33346.42,93204.146,5614.175,98818.321,11120.68
2010,1100304,Vilhena,45616.397,266174.913,617147.779,297885.684,1226824.773,220362.529,1447187.301,18995.2
2010,1100320,São Miguel do Guaporé,69712.908,84835.013,63419.944,82097.303,300065.167,24410.747,324475.914,14867.85
2010,1100338,Nova Mamoré,62857.472,22139.216,36734.998,82471.101,204202.787,14228.449,218431.236,9685.67
2010,1100346,Alvorada D'Oeste,45707.42,8247.579,31598.746,62945.955,148499.7,12189.108,160688.809,9528.51
2010,1100379,Alto Alegre dos Parecis,36601.462,7181.611,19891.73,48840.706,112515.51,7458.498,119974.008,9353.97
2010,1100403,Alto Paraíso,39911.485,7212.869,30462.892,64528.557,142115.804,10119.362,152235.166,8879.79
2010,1100452,Buritis,73365.27,34988.916,83316.347,114841.92,306512.453,29752.411,336264.863,10383.35
2010,1100502,Novo Horizonte do Oeste,29924.03,6205.459,16453.591,37131.416,89714.496,5705.59,95420.086,9321.1
2010,1100601,Cacaulândia,37438.697,2840.184,8660.257,23887.165,72826.302,3874.503,76700.806,13392.84
