cod_ibge,id_mun,nome_mun,sigla_uf,id_uf,sigla_regiao,area_total,area_amazonia,pctg_amazonia
1100015,110001,Alta Floresta D'Oeste,RO,11,N,7067.127,7067.127,100.0
1100023,110002,Ariquemes,RO,11,N,4426.571,4426.571,100.0
1100031,110003,Cabixi,RO,11,N,1314.352,1314.352,100.0
1100049,110004,Cacoal,RO,11,N,3793.0,3793.0,100.0
1100056,110005,Cerejeiras,RO,11,N,2783.3,2783.3,100.0
1100064,110006,Colorado do Oeste,RO,11,N,1451.06,1451.06,100.0
1100072,110007,Corumbiara,RO,11,N,3060.321,3060.321,100.0
1100080,110008,Costa Marques,RO,11,N,4987.177,4987.177,100.0
1100098,110009,Espigão D'Oeste,RO,11,N,4518.038,4518.038,100.0
1100106,110010,Guajará-Mirim,RO,11,N,24856.877,24856.877,100.0
1100114,110011,Jaru,RO,11,N,2944.128,2944.128,100.0
1100122,110012,Ji-Paraná,RO,11,N,6896.649,6896.649,100.0
1100130,110013,Machadinho D'Oeste,RO,11,N,8509.27,8509.27,100.0
1100148,110014,Nova Brasilândia D'Oeste,RO,11,N,1703.008,1703.008,100.0
1100155,110015,Ouro Preto do Oeste,RO,11,N,1969.85,1969.85,100.0
1100189,110018,Pimenta Bueno,RO,11,N,6241.016,6241.016,100.0
1100205,110020,Porto Velho,RO,11,N,34090.952,34090.952,100.0
1100254,110025,Presidente Médici,RO,11,N,1758.465,1758.465,100.0
1100262,110026,Rio Crespo,RO,11,N,1717.64,1717.64,100.0
1100288,110028,Rolim de Moura,RO,11,N,1457.811,1457.811,100.0
1100296,110029,Santa Luzia D'Oeste,RO,11,N,1197.796,1197.796,100.0
1100304,110030,Vilhena,RO,11,N,11699.15,11699.15,100.0
1100320,110032,São Miguel do Guaporé,RO,11,N,7460.117,7460.117,100.0
1100338,110033,Nova Mamoré,RO,11,N,10070.49,10070.49,100.0
1100346,110034,Alvorada D'Oeste,RO,11,N,3029.189,3029.189,100.0
1100379,110037,Alto Alegre dos Parecis,RO,11,N,3958.273,3958.273,100.0
1100403,110040,Alto Paraíso,RO,11,N,2651.822,2651.822,100.0
1100452,110045,Buritis,RO,11,N,3265.809,3265.809,100.0
1100502,110050,Novo Horizonte do Oeste,RO,11,N,843.446,843.446,100.0
1100601,110060,Cacaulândia,RO,11,N,1961.778,1961.778,100.0
1100700,110070,Campo Novo de Rondônia,RO,11,N,3442.005,3442.005,100.0
1100809,110080,Candeias do Jamari,RO,11,N,6843.868,6843.868,100.0
1100908,110090,Castanheiras,RO,11,N,892.841,892.841,100.0
1100924,110092,Chupinguaia,RO,11,N,5126.723,5126.723,100.0
1100940,110094,Cujubim,RO,11,N,3863.946,3863.946,100.0
1101005,110100,Governador Jorge Teixeira,RO,11,N,5067.384,5067.384,100.0
1101104,110110,Itapuã do Oeste,RO,11,N,4081.58,4081.58,100.0
1101203,110120,Ministro Andreazza,RO,11,N,798.083,798.083,100.0
1101302,110130,Mirante da Serra,RO,11,N,1191.875,1191.875,100.0
1101401,110140,Monte Negro,RO,11,N,1931.378,1931.378,100.0
1101435,110143,Nova União,RO,11,N,807.125,807.125,100.0
1101450,110145,Parecis,RO,11,N,2548.683,2548.683,100.0
1101468,110146,Pimenteiras do Oeste,RO,11,N,6014.733,6014.733,100.0
1101476,110147,Primavera de Rondônia,RO,11,N,605.692,605.692,100.0
1101484,110148,São Felipe D'Oeste,RO,11,N,541.647,541.647,100.0
1101492,110149,São Francisco do Guaporé,RO,11,N,10948.593,10948.593,100.0
1101500,110150,Seringueiras,RO,11,N,3773.505,3773.505,100.0
1101559,110155,Teixeirópolis,RO,11,N,459.978,459.978,100.0
1101609,110160,Theobroma,RO,11,N,2197.413,2197.413,100.0
1101708,110170,Urupá,RO,11,N,831.857,831.857,100.0
1101757,110175,Vale do Anari,RO,11,N,3135.106,3135.106,100.0
