cod_ibge,id_mun,ano,casos
1100015,110001,2013,191
1100023,110002,2013,41
1100031,110003,2013,43
1100049,110004,2013,442
1100056,110005,2013,744
1100064,110006,2013,85
1100072,110007,2013,77
1100080,110008,2013,198
1100098,110009,2013,724
1100106,110010,2013,271
1100114,110011,2013,296
1100122,110012,2013,418
1100130,110013,2013,105
1100148,110014,2013,89
1100155,110015,2013,66
1100189,110018,2013,44
1100205,110020,2013,771
1100254,110025,2013,268
1100262,110026,2013,3
1100288,110028,2013,380
1100296,110029,2013,15
1100304,110030,2013,1004
1100320,110032,2013,127
1100338,110033,2013,87
1100346,110034,2013,520
1100379,110037,2013,171
1100403,110040,2013,60
1100452,110045,2013,114
1100502,110050,2013,101
1100601,110060,2013,3
1100700,110070,2013,69
1100809,110080,2013,44
1100908,110090,2013,7
1100924,110092,2013,74
1100940,110094,2013,4
1101005,110100,2013,42
1101104,110110,2013,28
1101203,110120,2013,117
1101302,110130,2013,206
1101401,110140,2013,16
1101435,110143,2013,42
1101450,110145,2013,49
1101468,110146,2013,97
1101476,110147,2013,11
1101484,110148,2013,188
1101492,110149,2013,257
1101500,110150,2013,40
1101559,110155,2013,34
1101609,110160,2013,11
1101708,110170,2013,70
1101757,110175,2013,62
1101807,110180,2013,7
1200013,120001,2013,480
1200054,120005,2013,113
1200104,120010,2013,77
1200138,120013,2013,13
1200179,120017,2013,70
1200203,120020,2013,31
1200252,120025,2013,78
1200302,120030,2013,9
1200328,120032,2013,1
1200336,120033,2013,1
1200344,120034,2013,4
1200351,120035,2013,0
1200385,120038,2013,191
1200393,120039,2013,1
1200401,120040,2013,1296
1200427,120042,2013,2
1200435,120043,2013,2
1200450,120045,2013,24
1200500,120050,2013,79
1200609,120060,2013,11
1200708,120070,2013,119
1200807,120080,2013,58
1300029,130002,2013,4
1300060,130006,2013,2
1300086,130008,2013,1
1300102,130010,2013,2
1300144,130014,2013,6
1300201,130020,2013,3
1300300,130030,2013,3
1300409,130040,2013,32
1300508,130050,2013,1
1300607,130060,2013,7
1300631,130063,2013,0
1300680,130068,2013,0
1300706,130070,2013,204
1300805,130080,2013,201
1300839,130083,2013,0
1300904,130090,2013,2
1301001,130100,2013,0
1301100,130110,2013,148
1301159,130115,2013,4
1301209,130120,2013,939
1301308,130130,2013,134
1301407,130140,2013,1
1301506,130150,2013,4
1301605,130160,2013,1
1301654,130165,2013,4
1301704,130170,2013,380
1301803,130180,2013,2
1301852,130185,2013,16
1301902,130190,2013,100
1301951,130195,2013,0
1302009,130200,2013,0
1302108,130210,2013,2
1302207,130220,2013,0
1302306,130230,2013,1
1302405,130240,2013,33
1302504,130250,2013,331
1302553,130255,2013,10
1302603,130260,2013,14124
1302702,130270,2013,43
1302801,130280,2013,3
1302900,130290,2013,92
1303007,130300,2013,0
1303106,130310,2013,5
1303205,130320,2013,63
1303304,130330,2013,128
1303403,130340,2013,28
1303502,130350,2013,0
1303536,130353,2013,8
1303569,130356,2013,5
1303601,130360,2013,2
1303700,130370,2013,36
1303809,130380,2013,223
1303908,130390,2013,0
1303957,130395,2013,1
1304005,130400,2013,1
1304062,130406,2013,373
1304104,130410,2013,6
1304203,130420,2013,516
1304237,130423,2013,0
1304260,130426,2013,1
1304302,130430,2013,0
1304401,130440,2013,0
1400027,140002,2013,28
1400050,140005,2013,7
1400100,140010,2013,268
1400159,140015,2013,18
1400175,140017,2013,54
1400209,140020,2013,134
1400233,140023,2013,8
1400282,140028,2013,88
1400308,140030,2013,29
1400407,140040,2013,9
1400456,140045,2013,5
1400472,140047,2013,325
1400506,140050,2013,0
1400605,140060,2013,5
1400704,140070,2013,5
1500107,150010,2013,37
1500131,150013,2013,18
1500206,150020,2013,17
1500305,150030,2013,4
1500347,150034,2013,14
1500404,150040,2013,5
1500503,150050,2013,1
1500602,150060,2013,278
1500701,150070,2013,12
1500800,150080,2013,186
1500859,150085,2013,128
1500909,150090,2013,8
1500958,150095,2013,1
1501006,150100,2013,0
1501105,150110,2013,1
1501204,150120,2013,3
1501253,150125,2013,47
1501303,150130,2013,47
1501402,150140,2013,469
1501451,150145,2013,48
1501501,150150,2013,51
1501576,150157,2013,2
1501600,150160,2013,3
1501709,150170,2013,20
1501725,150172,2013,116
1501758,150175,2013,6
1501782,150178,2013,28
1501808,150180,2013,24
1501907,150190,2013,2
1501956,150195,2013,6
1502004,150200,2013,1
1502103,150210,2013,29
1502152,150215,2013,259
1502202,150220,2013,12
1502301,150230,2013,7
1502400,150240,2013,56
1502509,150250,2013,0
1502608,150260,2013,0
1502707,150270,2013,180
1502756,150275,2013,1
1502764,150276,2013,43
1502772,150277,2013,19
1502806,150280,2013,3
1502855,150285,2013,0
1502905,150290,2013,5
1502939,150293,2013,59
1502954,150295,2013,5
1503002,150300,2013,0
1503044,150304,2013,3
1503077,150307,2013,4
1503093,150309,2013,89
1503101,150310,2013,3
1503200,150320,2013,4
1503309,150330,2013,31
1503408,150340,2013,6
1503457,150345,2013,19
1503507,150350,2013,59
1503606,150360,2013,247
1503705,150370,2013,178
1503754,150375,2013,5
1503804,150380,2013,6
1503903,150390,2013,370
1504000,150400,2013,1
1504059,150405,2013,2
1504109,150410,2013,0
1504208,150420,2013,161
1504307,150430,2013,2
1504406,150440,2013,15
1504422,150442,2013,130
1504455,150445,2013,30
1504505,150450,2013,2
1504604,150460,2013,1
1504703,150470,2013,3
1504752,150475,2013,4
1504802,150480,2013,191
1504901,150490,2013,26
1504950,150495,2013,5
1504976,150497,2013,15
1505007,150500,2013,1
1505031,150503,2013,333
1505064,150506,2013,42
1505106,150510,2013,47
1505205,150520,2013,1
1505304,150530,2013,402
1505403,150540,2013,7
1505437,150543,2013,110
1505486,150548,2013,221
1505494,150549,2013,40
1505502,150550,2013,103
1505536,150553,2013,778
1505551,150555,2013,8
1505601,150560,2013,3
1505635,150563,2013,29
1505650,150565,2013,35
1505700,150570,2013,15
1505809,150580,2013,173
1505908,150590,2013,1
1506005,150600,2013,206
1506104,150610,2013,6
1506112,150611,2013,0
1506138,150613,2013,86
1506161,150616,2013,151
1506187,150618,2013,38
1506195,150619,2013,308
1506203,150620,2013,65
1506302,150630,2013,13
1506351,150635,2013,9
1506401,150640,2013,0
1506500,150650,2013,19
1506559,150655,2013,1
1506583,150658,2013,116
1506609,150660,2013,3
1506708,150670,2013,41
1506807,150680,2013,873
1506906,150690,2013,4
1507003,150700,2013,28
1507102,150710,2013,2
1507151,150715,2013,130
1507201,150720,2013,5
1507300,150730,2013,254
1507409,150740,2013,7
1507458,150745,2013,124
1507466,150746,2013,3
1507474,150747,2013,8
1507508,150750,2013,12
1507607,150760,2013,33
1507706,150770,2013,0
1507755,150775,2013,1
1507805,150780,2013,39
1507904,150790,2013,43
1507953,150795,2013,44
1507961,150796,2013,26
1507979,150797,2013,2
1508001,150800,2013,47
1508035,150803,2013,17
1508050,150805,2013,8
1508084,150808,2013,30
1508100,150810,2013,54
1508126,150812,2013,3
1508159,150815,2013,111
1508209,150820,2013,9
1508308,150830,2013,9
1508357,150835,2013,131
1508407,150840,2013,69
1600055,160005,2013,47
1600105,160010,2013,0
1600154,160015,2013,109
1600204,160020,2013,27
1600212,160021,2013,0
1600238,160023,2013,79
1600253,160025,2013,1
1600279,160027,2013,4
1600303,160030,2013,650
1600402,160040,2013,128
1600501,160050,2013,473
1600535,160053,2013,174
1600550,160055,2013,0
1600600,160060,2013,100
1600709,160070,2013,0
1600808,160080,2013,0
1700251,170025,2013,5
1700301,170030,2013,11
1700350,170035,2013,3
1700400,170040,2013,25
1700707,170070,2013,4
1701002,170100,2013,4
1701051,170105,2013,8
1701101,170110,2013,15
1701309,170130,2013,2
1701903,170190,2013,78
1702000,170200,2013,369
1702109,170210,2013,557
1702158,170215,2013,2
1702208,170220,2013,36
1702307,170230,2013,17
1702406,170240,2013,82
1702554,170255,2013,22
1702703,170270,2013,2
1702901,170290,2013,2
1703008,170300,2013,35
1703057,170305,2013,11
1703073,170307,2013,4
1703107,170310,2013,17
1703206,170320,2013,1
1703305,170330,2013,3
1703602,170360,2013,0
1703701,170370,2013,7
1703800,170380,2013,0
1703826,170382,2013,14
1703842,170384,2013,7
1703867,170386,2013,10
1703883,170388,2013,3
1703891,170389,2013,2
1703909,170390,2013,9
1704105,170410,2013,1
1704600,170460,2013,9
1705102,170510,2013,8
1705508,170550,2013,63
1705557,170555,2013,4
1705607,170560,2013,28
1706001,170600,2013,2
1706100,170610,2013,99
1706258,170625,2013,12
1706506,170650,2013,7
1707009,170700,2013,105
1707108,170710,2013,50
1707207,170720,2013,25
1707306,170730,2013,67
1707405,170740,2013,0
1707553,170755,2013,13
1707652,170765,2013,33
1707702,170770,2013,9
1708205,170820,2013,527
1708254,170825,2013,5
1708304,170830,2013,9
1709005,170900,2013,1
1709302,170930,2013,49
1709500,170950,2013,802
1709807,170980,2013,4
1710508,171050,2013,39
1710706,171070,2013,6
1710904,171090,2013,4
1711100,171110,2013,32
1711506,171150,2013,19
1711803,171180,2013,1
