nome_uf,id_uf,ano,populacao
Acre,12,2001,574355
Acre,12,2002,586942
Acre,12,2003,600595
Acre,12,2004,630328
Acre,12,2005,669736
Acre,12,2006,686652
Acre,12,2007,683363
Acre,12,2008,680075
Acre,12,2009,691132
Acre,12,2010,733559
Acre,12,2011,746386
Acre,12,2012,758786
Acre,12,2013,776463
Acre,12,2014,790101
Acre,12,2015,803513
Acre,12,2016,816687
Acre,12,2017,829619
Acre,12,2018,869265
Acre,12,2019,881935
Acre,12,2020,894470
Acre,12,2021,906876
Acre,12,2022,830018
Alagoas,27,2001,2856629
Alagoas,27,2002,2887535
Alagoas,27,2003,2917664
Alagoas,27,2004,2980910
Alagoas,27,2005,3015912
Alagoas,27,2006,3050652
Alagoas,27,2007,3089106
Alagoas,27,2008,3127560
Alagoas,27,2009,3156108
Alagoas,27,2010,3120494
Alagoas,27,2011,3143384
Alagoas,27,2012,3165472
Alagoas,27,2013,3300935
Alagoas,27,2014,3321730
Alagoas,27,2015,3340932
Alagoas,27,2016,3358963
Alagoas,27,2017,3375823
Alagoas,27,2018,3322820
Alagoas,27,2019,3337357
Alagoas,27,2020,3351543
Alagoas,27,2021,3365351
Alagoas,27,2022,3127683
Amapá,16,2001,498735
Amapá,16,2002,516511
Amapá,16,2003,534835
Amapá,16,2004,547400
Amapá,16,2005,594587
Amapá,16,2006,615715
Amapá,16,2007,614440
Amapá,16,2008,613166
Amapá,16,2009,626609
Amapá,16,2010,669526
Amapá,16,2011,684309
Amapá,16,2012,698602
Amapá,16,2013,734996
Amapá,16,2014,750912
Amapá,16,2015,766679
Amapá,16,2016,782295
Amapá,16,2017,797722
Amapá,16,2018,829494
Amapá,16,2019,845731
Amapá,16,2020,861773
Amapá,16,2021,877613
Amapá,16,2022,733759
Amazonas,13,2001,2900240
Amazonas,13,2002,2961801
Amazonas,13,2003,3031068
Amazonas,13,2004,3138726
Amazonas,13,2005,3232330
Amazonas,13,2006,3311026
Amazonas,13,2007,3326060
Amazonas,13,2008,3341094
Amazonas,13,2009,3393369
Amazonas,13,2010,3483985
Amazonas,13,2011,3538387
Amazonas,13,2012,3590985
Amazonas,13,2013,3807921
Amazonas,13,2014,3873743
Amazonas,13,2015,3938336
Amazonas,13,2016,4001667
Amazonas,13,2017,4063614
Amazonas,13,2018,4080611
Amazonas,13,2019,4144597
Amazonas,13,2020,4207714
Amazonas,13,2021,4269995
Amazonas,13,2022,3941613
Bahia,29,2001,13214114
Bahia,29,2002,13323212
Bahia,29,2003,13435612
Bahia,29,2004,13682074
Bahia,29,2005,13815334
Bahia,29,2006,13950146
Bahia,29,2007,14226354
Bahia,29,2008,14502563
Bahia,29,2009,14637364
Bahia,29,2010,14016906
Bahia,29,2011,14097534
Bahia,29,2012,14175341
Bahia,29,2013,15044137
Bahia,29,2014,15126371
Bahia,29,2015,15203334
Bahia,29,2016,15276566
