DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Notificações por Município de residência e Ano 1º Sintoma(s)
Amazônia Legal (residência): Sim
Classifica. Final: Ign/Ñ preenchido, Dengue Clássico, Dengue Com Complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue
Período:2001-2006
"Município de residência";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
" MUNICIPIO IGNORADO - RO";-;1;2;-;1;-;4
"110001 ALTA FLORESTA D'OESTE";8;23;3;14;100;183;331
"110002 ARIQUEMES";4;25;82;181;642;90;1024
"110003 CABIXI";3;5;2;40;16;6;72
"110004 CACOAL";53;28;30;1129;1229;210;2679
"110005 CEREJEIRAS";14;33;34;2;23;10;116
"110006 COLORADO DO OESTE";24;14;81;126;18;5;268
"110007 CORUMBIARA";1;7;18;-;1;2;29
"110008 COSTA MARQUES";-;-;3;22;2;2;29
"110009 ESPIGAO D'OESTE";16;19;37;2;175;75;324
"110010 GUAJARA-MIRIM";56;1;4;26;43;31;161
"110011 JARU";15;54;34;353;284;100;840
"110012 JI-PARANA";145;63;83;86;650;714;1741
"110013 MACHADINHO D'OESTE";1;1;-;5;5;6;18
"110014 NOVA BRASILANDIA D'OESTE";-;2;-;-;2;17;21
"110015 OURO PRETO DO OESTE";5;4;17;111;69;78;284
"110018 PIMENTA BUENO";20;29;33;162;440;135;819
"110020 PORTO VELHO";553;447;1023;505;458;455;3441
"110025 PRESIDENTE MEDICI";117;291;132;67;251;1137;1995
"110026 RIO CRESPO";-;-;-;4;11;6;21
"110028 ROLIM DE MOURA";19;26;2;3;41;252;343
"110029 SANTA LUZIA D'OESTE";-;14;1;10;48;7;80
"110030 VILHENA";563;193;1293;380;908;235;3572
"110032 SAO MIGUEL DO GUAPORE";-;-;1;-;8;38;47
"110033 NOVA MAMORE";6;-;-;1;5;-;12
"110034 ALVORADA D'OESTE";39;51;19;16;246;173;544
"110037 ALTO ALEGRE DOS PARECIS";-;2;-;5;8;34;49
"110040 ALTO PARAISO";-;-;2;66;20;30;118
"110045 BURITIS";-;-;-;-;14;4;18
"110050 NOVO HORIZONTE DO OESTE";1;1;10;10;14;20;56
"110060 CACAULANDIA";-;-;-;-;3;-;3
"110070 CAMPO NOVO DE RONDONIA";3;-;-;-;9;-;12
"110080 CANDEIAS DO JAMARI";1;169;42;12;45;30;299
"110090 CASTANHEIRAS";1;3;-;-;2;44;50
"110092 CHUPINGUAIA";5;32;16;1;16;6;76
"110094 CUJUBIM";-;-;-;-;34;2;36
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;1;3;-;4
"110110 ITAPUA DO OESTE";3;22;-;1;8;19;53
"110120 MINISTRO ANDREAZZA";-;-;-;1;7;1;9
"110130 MIRANTE DA SERRA";2;-;-;35;1;20;58
"110140 MONTE NEGRO";-;-;-;1;71;1;73
"110145 PARECIS";-;-;-;-;-;3;3
"110147 PRIMAVERA DE RONDONIA";7;-;-;2;3;-;12
"110148 SAO FELIPE D'OESTE";2;2;-;3;1;5;13
"110149 SAO FRANCISCO DO GUAPORE";1;-;-;-;-;6;7
"110150 SERINGUEIRAS";-;-;2;-;-;4;6
"110155 TEIXEIROPOLIS";-;-;-;-;-;2;2
"110160 THEOBROMA";-;2;-;-;3;3;8
"110170 URUPA";1;3;1;-;3;3;11
"110175 VALE DO ANARI";-;-;-;1;3;2;6
"110180 VALE DO PARAISO";1;-;1;2;2;23;29
" MUNICIPIO IGNORADO - AC";1;2;2;1;1;-;7
"120001 ACRELANDIA";1;5;-;2;46;3;57
"120005 ASSIS BRASIL";-;-;1;1;11;-;13
"120010 BRASILEIA";40;22;7;235;75;23;402
"120013 BUJARI";3;5;3;11;15;-;37
"120017 CAPIXABA";6;6;2;5;6;6;31
"120020 CRUZEIRO DO SUL";5;1;-;2;2;-;10
"120025 EPITACIOLANDIA";36;5;73;237;84;9;444
"120030 FEIJO";-;-;1;-;-;-;1
"120033 MANCIO LIMA";1;-;-;-;1;-;2
"120034 MANOEL URBANO";-;-;1;-;-;-;1
"120038 PLACIDO DE CASTRO";1;5;3;7;7;3;26
"120040 RIO BRANCO";1859;796;843;3904;1937;180;9519
"120042 RODRIGUES ALVES";-;-;1;1;-;-;2
"120043 SANTA ROSA DO PURUS";-;-;1;-;-;1;2
"120045 SENADOR GUIOMARD";63;36;21;46;55;32;253
"120050 SENA MADUREIRA";5;5;2;216;24;6;258
"120060 TARAUACA";-;-;1;-;-;-;1
