DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano Notificação
Amazônia Legal (residência): Sim
Class. Final: Dengue Clássico, Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Inconclusivo, Ignorado/brancos
Período:2007-2013
"Município de residência";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"Total"
" MUNICIPIO IGNORADO - RO";-;-;1;1;-;1;8;11
"110001 ALTA FLORESTA D'OESTE";111;32;385;86;2;68;191;875
"110002 ARIQUEMES";37;102;756;229;37;8;36;1205
"110003 CABIXI";11;30;20;73;17;51;43;245
"110004 CACOAL";638;839;1601;940;50;30;440;4538
"110005 CEREJEIRAS";4;175;246;120;173;110;744;1572
"110006 COLORADO DO OESTE";37;32;221;554;136;142;83;1205
"110007 CORUMBIARA";-;3;2;45;33;61;77;221
"110008 COSTA MARQUES";16;11;32;364;153;55;197;828
"110009 ESPIGAO D'OESTE";9;206;589;572;61;58;724;2219
"110010 GUAJARA-MIRIM";9;873;1166;1187;475;379;271;4360
"110011 JARU";108;63;2590;731;42;111;296;3941
"110012 JI-PARANA";53;275;936;598;57;17;412;2348
"110013 MACHADINHO D'OESTE";10;188;714;591;15;12;104;1634
"110014 NOVA BRASILANDIA D'OESTE";6;32;166;750;285;14;89;1342
"110015 OURO PRETO DO OESTE";82;69;636;382;16;10;65;1260
"110018 PIMENTA BUENO";509;126;1020;1495;12;24;44;3230
"110020 PORTO VELHO";392;1212;1806;6419;164;185;769;10947
"110025 PRESIDENTE MEDICI";58;348;28;109;52;8;268;871
"110026 RIO CRESPO";-;2;2;34;10;2;3;53
"110028 ROLIM DE MOURA";185;118;1020;1341;7;107;379;3157
"110029 SANTA LUZIA D'OESTE";1;15;177;51;15;1;15;275
"110030 VILHENA";329;570;1131;1178;159;1211;1004;5582
"110032 SAO MIGUEL DO GUAPORE";124;23;433;346;72;45;127;1170
"110033 NOVA MAMORE";66;31;82;146;14;12;87;438
"110034 ALVORADA D'OESTE";50;44;153;71;277;84;520;1199
"110037 ALTO ALEGRE DOS PARECIS";72;35;161;53;36;26;171;554
"110040 ALTO PARAISO";8;16;32;82;48;42;60;288
"110045 BURITIS";1;18;663;673;96;28;114;1593
"110050 NOVO HORIZONTE DO OESTE";2;-;82;451;123;9;101;768
"110060 CACAULANDIA";-;-;31;4;2;1;3;41
"110070 CAMPO NOVO DE RONDONIA";-;1;4;40;67;8;69;189
"110080 CANDEIAS DO JAMARI";6;43;33;150;11;9;44;296
"110090 CASTANHEIRAS";-;5;10;4;-;3;7;29
"110092 CHUPINGUAIA";93;22;134;31;18;59;74;431
"110094 CUJUBIM";1;-;9;94;5;1;4;114
"110100 GOVERNADOR JORGE TEIXEIRA";-;8;190;72;4;5;42;321
"110110 ITAPUA DO OESTE";1;4;21;225;48;8;28;335
"110120 MINISTRO ANDREAZZA";-;26;124;46;3;7;117;323
"110130 MIRANTE DA SERRA";25;-;383;233;15;14;206;876
"110140 MONTE NEGRO";3;2;20;233;80;1;16;355
"110143 NOVA UNIAO";-;-;342;74;17;11;42;486
"110145 PARECIS";8;16;1;12;8;19;49;113
"110146 PIMENTEIRAS DO OESTE";-;2;-;6;4;1;97;110
"110147 PRIMAVERA DE RONDONIA";9;38;10;47;1;-;11;116
"110148 SAO FELIPE D'OESTE";2;45;57;121;20;139;188;572
"110149 SAO FRANCISCO DO GUAPORE";17;68;78;360;51;59;257;890
"110150 SERINGUEIRAS";-;57;145;91;47;52;40;432
"110155 TEIXEIROPOLIS";2;14;174;98;-;13;34;335
"110160 THEOBROMA";21;7;79;46;3;4;11;171
"110170 URUPA";6;71;75;290;164;22;69;697
"110175 VALE DO ANARI";1;14;177;29;6;1;62;290
"110180 VALE DO PARAISO";20;33;29;10;2;3;7;104
"120001 ACRELANDIA";13;9;23;429;78;2;480;1034
"120005 ASSIS BRASIL";1;1;42;260;72;52;113;541
"120010 BRASILEIA";84;68;603;378;55;177;77;1442
"120013 BUJARI";-;30;75;143;16;13;13;290
"120017 CAPIXABA";4;14;113;226;195;18;70;640
"120020 CRUZEIRO DO SUL";2;1;20;73;64;16;31;207
"120025 EPITACIOLANDIA";73;87;659;353;70;144;78;1464
