DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano notificação
Amazônia Legal (residência): Sim
Class. Final: Ign/Branco, Dengue Clássico, Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Inconclusivo, Dengue, Dengue com sinais de alarme, Dengue grave
Período:2014-2024
"Município de residência";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
" MUNICIPIO IGNORADO - RO";-;-;1;3;2;-;-;1;-;1;-;1;9
"110001 ALTA FLORESTA D'OESTE";-;29;96;488;16;4;230;9;4;397;422;248;1943
"110002 ARIQUEMES";5;60;23;69;61;11;33;157;55;1109;376;83;2042
"110003 CABIXI";-;9;130;56;5;4;94;11;1;25;66;13;414
"110004 CACOAL";2;33;46;217;25;21;25;94;206;2070;389;134;3262
"110005 CEREJEIRAS";-;12;44;333;254;10;14;158;5;32;142;52;1056
"110006 COLORADO DO OESTE";2;31;15;44;15;17;11;70;8;11;50;46;320
"110007 CORUMBIARA";-;11;19;23;16;1;7;40;2;-;73;27;219
"110008 COSTA MARQUES";1;118;18;47;1;-;2;31;31;35;54;124;462
"110009 ESPIGAO D'OESTE";-;18;281;522;118;39;13;125;24;508;199;255;2102
"110010 GUAJARA-MIRIM";-;25;14;285;98;48;10;33;75;85;152;14;839
"110011 JARU";-;54;22;121;141;1;9;119;38;1330;663;107;2605
"110012 JI-PARANA";6;215;35;924;76;31;16;10;81;772;647;168;2981
"110013 MACHADINHO D'OESTE";1;82;21;476;127;7;5;41;18;261;71;92;1202
"110014 NOVA BRASILANDIA D'OESTE";-;23;3;344;72;4;24;237;38;687;93;142;1667
"110015 OURO PRETO DO OESTE";1;48;50;111;56;8;12;11;8;46;50;21;422
"110018 PIMENTA BUENO";-;35;75;534;45;5;15;44;51;335;886;82;2107
"110020 PORTO VELHO";2;294;193;857;326;107;167;304;207;1960;1108;539;6064
"110025 PRESIDENTE MEDICI";-;27;14;110;44;13;26;20;41;229;146;135;805
"110026 RIO CRESPO";-;1;4;46;2;3;-;17;3;26;37;61;200
"110028 ROLIM DE MOURA";1;69;32;367;88;15;9;162;18;279;659;840;2539
"110029 SANTA LUZIA D'OESTE";-;8;7;55;2;3;-;30;11;104;97;42;359
"110030 VILHENA";-;47;323;312;19;12;14;1134;103;1304;1672;330;5270
"110032 SAO MIGUEL DO GUAPORE";-;1;17;50;4;2;2;94;40;80;12;55;357
"110033 NOVA MAMORE";-;4;19;178;8;4;37;230;13;122;182;64;861
"110034 ALVORADA D'OESTE";-;25;36;84;8;1;-;2;1;196;195;21;569
"110037 ALTO ALEGRE DOS PARECIS";-;15;16;18;13;2;39;83;4;12;145;46;393
"110040 ALTO PARAISO";-;24;4;26;25;5;5;15;28;96;35;9;272
"110045 BURITIS";-;128;165;239;128;102;87;187;229;330;80;220;1895
"110050 NOVO HORIZONTE DO OESTE";-;20;11;68;4;-;1;4;14;5;41;83;251
"110060 CACAULANDIA";-;7;14;14;52;-;-;23;6;58;253;61;488
"110070 CAMPO NOVO DE RONDONIA";-;226;33;21;32;6;14;16;82;70;56;49;605
"110080 CANDEIAS DO JAMARI";-;15;47;147;36;8;18;-;15;89;26;179;580
"110090 CASTANHEIRAS";-;1;3;29;4;-;2;-;36;41;12;33;161
"110092 CHUPINGUAIA";-;23;52;37;2;-;-;9;96;76;273;35;603
"110094 CUJUBIM";-;3;4;68;58;3;8;2;8;68;135;77;434
"110100 GOVERNADOR JORGE TEIXEIRA";-;3;3;16;6;1;2;8;2;151;15;6;213
"110110 ITAPUA DO OESTE";-;30;6;51;10;2;7;116;59;41;178;3;503
"110120 MINISTRO ANDREAZZA";-;3;79;31;7;-;1;6;36;58;41;27;289
"110130 MIRANTE DA SERRA";-;10;-;15;7;-;-;2;1;117;91;6;249
"110140 MONTE NEGRO";-;6;17;32;30;6;12;20;292;52;177;45;689
"110143 NOVA UNIAO";-;7;9;12;9;2;1;2;2;25;9;6;84
"110145 PARECIS";-;8;128;59;15;2;-;49;73;3;70;53;460
"110146 PIMENTEIRAS DO OESTE";-;2;-;45;8;5;4;20;1;1;46;53;185
"110147 PRIMAVERA DE RONDONIA";-;6;1;7;1;3;2;91;34;14;107;63;329
"110148 SAO FELIPE D'OESTE";-;53;13;49;17;6;2;23;5;105;67;109;449
"110149 SAO FRANCISCO DO GUAPORE";-;20;34;60;9;4;9;54;63;271;113;14;651
"110150 SERINGUEIRAS";-;27;12;75;7;6;-;-;107;350;43;17;644
"110155 TEIXEIROPOLIS";-;-;3;5;3;1;-;1;9;58;7;7;94
"110160 THEOBROMA";-;8;3;22;5;-;-;15;3;29;89;15;189
"110170 URUPA";1;67;43;26;14;1;-;1;26;44;21;14;258
"110175 VALE DO ANARI";-;3;5;22;22;3;2;39;2;36;91;97;322
"110180 VALE DO PARAISO";-;2;2;75;45;1;7;1;1;71;60;11;276
"120001 ACRELANDIA";-;7;11;4;143;65;13;35;173;9;50;15;525
"120005 ASSIS BRASIL";-;21;6;489;2;5;87;199;476;200;552;417;2454
"120010 BRASILEIA";-;12;7;55;66;64;186;361;334;49;719;627;2480
"120013 BUJARI";-;30;29;15;15;105;27;20;107;1;226;42;617
"120017 CAPIXABA";-;18;7;59;27;49;79;13;98;20;279;30;679
"120020 CRUZEIRO DO SUL";-;26591;4502;220;582;1034;2859;2799;1099;1516;751;555;42508
"120025 EPITACIOLANDIA";-;42;60;235;187;131;211;439;245;58;401;600;2609
"120030 FEIJO";-;10;7;12;3;1219;1;53;577;317;797;303;3299
"120032 JORDAO";-;-;-;3;1;-;2;-;2;1;3;3;15
"120033 MANCIO LIMA";-;256;213;41;18;602;309;155;254;143;302;198;2491
"120034 MANOEL URBANO";-;3;-;-;1;192;6;8;226;20;118;5;579
"120035 MARECHAL THAUMATURGO";-;43;26;15;5;3;14;598;519;154;36;149;1562
"120038 PLACIDO DE CASTRO";-;25;6;43;128;481;144;12;45;2;124;35;1045
"120039 PORTO WALTER";-;51;37;4;-;8;1;30;12;157;94;340;734
"120040 RIO BRANCO";13;585;435;613;375;1479;2714;1271;5536;240;1243;879;15383
"120042 RODRIGUES ALVES";-;311;320;33;43;112;446;389;488;235;146;212;2735
"120043 SANTA ROSA DO PURUS";-;4;1;-;1;-;2;-;1;-;5;3;17
"120045 SENADOR GUIOMARD";-;19;28;57;8;23;40;36;29;1;31;26;298
"120050 SENA MADUREIRA";-;38;16;31;16;1138;317;72;627;200;572;101;3128
"120060 TARAUACA";-;28;24;13;4;283;1954;833;3040;130;354;40;6703
"120070 XAPURI";-;11;43;130;198;146;695;237;896;41;168;30;2595
"120080 PORTO ACRE";-;12;39;125;39;174;72;149;170;5;194;39;1018
"130002 ALVARAES";-;15;22;3;7;2;4;1;23;220;237;70;604
"130006 AMATURA";-;4;1;-;-;-;-;1;3;4;1;1;15
"130008 ANAMA";-;-;1;-;-;-;-;-;-;-;-;1;2
"130010 ANORI";-;40;3;2;1;2;-;1;2;-;-;1;52
"130014 APUI";-;1;6;12;1;-;1;-;2;-;8;1;32
"130020 ATALAIA DO NORTE";-;6;1;1;-;-;12;9;3;166;18;65;281
"130030 AUTAZES";-;-;-;25;2;2;1;-;4;1;-;3;38
"130040 BARCELOS";-;10;105;5;4;1;9;45;5;3;17;8;212
"130050 BARREIRINHA";-;-;1;2;-;-;-;-;-;1;-;2;6
"130060 BENJAMIN CONSTANT";-;3;1;22;17;1;431;671;84;1643;89;20;2982
"130063 BERURI";-;-;1;23;13;-;-;1;17;2;2;41;100
"130068 BOA VISTA DO RAMOS";-;1;-;27;6;2;-;-;1;-;-;2;39
"130070 BOCA DO ACRE";-;18;17;41;17;23;198;654;140;4;19;21;1152
"130080 BORBA";-;50;6;68;41;6;44;16;25;-;42;10;308
"130083 CAAPIRANGA";-;2;-;1;1;1;-;-;1;-;1;8;15
"130090 CANUTAMA";-;1;-;-;3;1;1;6;-;2;-;162;176
"130100 CARAUARI";-;-;1;3;36;4;623;357;40;5;2;17;1088
"130110 CAREIRO";-;6;3;17;-;2;2;5;2;-;5;10;52
"130115 CAREIRO DA VARZEA";-;-;1;-;1;2;-;1;1;-;-;4;10
"130120 COARI";15;493;1;114;248;15;4;9;8;94;124;767;1892
"130130 CODAJAS";-;7;-;-;58;2;9;7;19;3;31;618;754
"130140 EIRUNEPE";-;1;1;2;-;1;17;276;110;1;6;46;461
"130150 ENVIRA";-;-;4;1;-;1;-;21;134;123;5;366;655
"130160 FONTE BOA";-;-;1;1;-;-;-;1;3;2;-;3;11
"130165 GUAJARA";-;532;271;77;80;106;632;431;56;117;48;140;2490
"130170 HUMAITA";-;65;9;29;50;19;70;148;211;277;274;35;1187
"130180 IPIXUNA";-;19;13;4;5;4;23;32;152;412;460;10;1134
"130185 IRANDUBA";-;2;8;21;27;20;9;12;321;65;99;25;609
"130190 ITACOATIARA";-;465;130;111;28;355;33;19;12;20;6;21;1200
"130195 ITAMARATI";-;1;-;-;1;-;1;-;-;-;-;-;3
"130200 ITAPIRANGA";-;1;-;-;1;1;-;-;1;-;-;-;4
"130210 JAPURA";-;2;-;14;2;1;-;1;4;178;291;177;670
"130220 JURUA";-;1;-;-;-;-;2;1;1;1;-;9;15
"130230 JUTAI";-;-;-;2;1;-;-;509;223;8;698;549;1990
"130240 LABREA";-;22;9;31;15;4;1;594;338;82;613;697;2406
"130250 MANACAPURU";-;13;12;50;16;4;14;12;178;17;30;51;397
"130255 MANAQUIRI";-;-;-;4;-;-;-;1;1;2;1;7;16
"130260 MANAUS";8;2591;1614;5347;2516;1269;464;943;3946;1191;1170;2474;23533
"130270 MANICORE";-;3;31;3;1;1;-;17;487;190;98;50;881
"130280 MARAA";-;7;1;3;3;2;1;-;3;1;114;13;148
"130290 MAUES";-;2;162;170;46;15;5;-;6;3;70;91;570
"130300 NHAMUNDA";-;-;-;-;-;-;1;-;-;-;-;2;3
"130310 NOVA OLINDA DO NORTE";-;2;27;107;10;1;1;-;3;-;1;2;154
"130320 NOVO AIRAO";-;6;-;72;13;1;7;-;17;8;2;89;215
"130330 NOVO ARIPUANA";-;57;259;304;36;16;15;12;5;-;3;3;710
"130340 PARINTINS";-;13;524;17;24;8;2;30;33;13;5;152;821
"130350 PAUINI";-;-;-;1;2;1;1;3;4;1;3;9;25
"130353 PRESIDENTE FIGUEIREDO";-;31;12;22;1;4;47;93;47;14;13;18;302
