DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano Notificação
Amazônia Legal (residência): Sim
Class. Final: Dengue Clássico, Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Inconclusivo, Ignorado/brancos
Evolução: Óbito pelo agravo notificado
Período:2007-2013
"Município de residência";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;1;-;-;-;-;1
"110002 ARIQUEMES";-;-;2;-;-;-;-;2
"110004 CACOAL";-;1;6;4;-;-;-;11
"110005 CEREJEIRAS";-;-;-;1;-;-;-;1
"110006 COLORADO DO OESTE";-;-;-;1;-;1;-;2
"110010 GUAJARA-MIRIM";-;-;-;2;-;-;-;2
"110011 JARU";-;-;4;1;-;-;-;5
"110012 JI-PARANA";-;-;1;2;1;-;1;5
"110014 NOVA BRASILANDIA D'OESTE";-;-;1;-;-;-;-;1
"110015 OURO PRETO DO OESTE";-;-;3;-;-;-;-;3
"110018 PIMENTA BUENO";-;-;-;1;-;-;-;1
"110020 PORTO VELHO";-;2;1;3;-;1;1;8
"110025 PRESIDENTE MEDICI";-;-;-;2;-;-;-;2
"110028 ROLIM DE MOURA";-;-;-;2;-;-;-;2
"110030 VILHENA";-;2;-;2;-;1;1;6
"110034 ALVORADA D'OESTE";-;-;-;-;1;-;-;1
"110092 CHUPINGUAIA";-;-;-;-;-;-;1;1
"110110 ITAPUA DO OESTE";-;-;-;1;-;-;-;1
"110120 MINISTRO ANDREAZZA";-;-;-;-;-;-;2;2
"110130 MIRANTE DA SERRA";-;-;-;1;-;-;-;1
"110140 MONTE NEGRO";-;-;-;-;1;-;-;1
"120040 RIO BRANCO";-;-;5;9;2;-;-;16
"130185 IRANDUBA";-;-;-;-;1;-;-;1
"130190 ITACOATIARA";-;-;-;-;1;-;-;1
"130250 MANACAPURU";-;-;-;1;2;-;-;3
"130260 MANAUS";5;9;3;5;14;3;10;49
"130290 MAUES";-;1;-;-;-;-;-;1
"130310 NOVA OLINDA DO NORTE";-;-;-;-;1;-;-;1
"130320 NOVO AIRAO";-;-;-;-;1;-;-;1
"130406 TABATINGA";-;-;-;-;1;3;-;4
"130420 TEFE";-;-;-;-;2;-;1;3
"140010 BOA VISTA";-;2;2;4;1;-;-;9
"140017 CANTA";-;1;-;-;-;-;-;1
"140047 RORAINOPOLIS";-;1;1;1;-;-;-;3
"140070 UIRAMUTA";-;-;-;1;-;-;-;1
"150010 ABAETETUBA";-;-;-;-;1;-;-;1
"150060 ALTAMIRA";-;-;-;-;3;1;-;4
"150080 ANANINDEUA";-;1;-;3;-;1;-;5
"150130 BARCARENA";3;-;-;-;-;-;-;3
"150140 BELEM";7;-;7;12;6;1;-;33
"150145 BELTERRA";-;-;1;-;-;-;-;1
"150157 BOM JESUS DO TOCANTINS";-;-;-;-;1;-;-;1
"150170 BRAGANCA";-;-;-;1;-;-;-;1
"150180 BREVES";-;1;-;-;-;-;-;1
"150230 CAPITAO POCO";1;-;-;-;-;-;-;1
"150270 CONCEICAO DO ARAGUAIA";1;3;1;-;-;-;-;5
"150304 FLORESTA DO ARAGUAIA";-;-;1;-;-;-;-;1
"150370 ITUPIRANGA";1;-;-;-;-;-;-;1
"150380 JACUNDA";-;-;1;-;-;-;-;1
"150420 MARABA";-;3;-;-;-;-;-;3
"150442 MARITUBA";-;-;-;1;1;-;-;2
"150445 MEDICILANDIA";-;-;-;-;-;-;1;1
"150503 NOVO PROGRESSO";1;-;-;-;-;-;-;1
"150506 NOVO REPARTIMENTO";-;-;1;-;-;-;-;1
"150530 ORIXIMINA";-;1;-;-;2;-;1;4
"150543 OURILANDIA DO NORTE";-;-;-;1;-;-;-;1
"150548 PACAJA";-;-;-;-;1;-;-;1
"150550 PARAGOMINAS";-;1;1;-;-;-;2;4
"150553 PARAUAPEBAS";4;1;-;-;1;1;1;8
"150613 REDENCAO";4;1;-;-;-;-;-;5
"150616 RIO MARIA";1;-;-;-;-;-;-;1
"150618 RONDON DO PARA";1;-;-;-;-;-;-;1
"150619 RUROPOLIS";-;1;-;-;-;-;2;3
"150620 SALINOPOLIS";1;-;-;-;-;-;-;1
"150650 SANTA IZABEL DO PARA";-;-;-;-;1;1;-;2
"150655 SANTA LUZIA DO PARA";1;-;-;-;-;-;-;1
"150658 SANTA MARIA DAS BARREIRAS";-;1;-;-;1;-;-;2
"150670 SANTANA DO ARAGUAIA";-;-;-;1;-;-;2;3
"150680 SANTAREM";-;2;-;-;1;-;-;3
"150730 SAO FELIX DO XINGU";-;-;-;-;-;1;-;1
"150745 SAO GERALDO DO ARAGUAIA";1;-;-;-;-;-;-;1
"150790 SOURE";-;-;-;-;1;-;-;1
"150795 TAILANDIA";-;-;-;-;1;-;-;1
"150805 TRAIRAO";1;-;-;-;-;-;-;1
"150808 TUCUMA";2;-;2;-;-;-;-;4
"150815 URUARA";-;-;-;2;-;-;-;2
"150840 XINGUARA";-;10;-;-;1;-;-;11
"160030 MACAPA";5;-;-;3;1;1;3;13
"170210 ARAGUAINA";-;1;-;1;-;-;2;4
"170230 ARAPOEMA";-;-;-;-;-;-;2;2
"170255 AUGUSTINOPOLIS";1;-;-;-;-;-;-;1
"170560 CONCEICAO DO TOCANTINS";1;-;-;-;-;-;-;1
"170720 DOIS IRMAOS DO TOCANTINS";-;-;-;-;-;-;1;1
"170950 GURUPI";-;1;-;1;2;-;-;4
"171320 MIRACEMA DO TOCANTINS";-;-;-;-;-;1;-;1
"171330 MIRANORTE";-;1;-;-;-;-;-;1
"171420 NATIVIDADE";2;-;-;-;-;-;-;2
"171610 PARAISO DO TOCANTINS";-;-;-;-;-;1;-;1
