DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano notificação
Amazônia Legal (residência): Sim
Class. Final: Ign/Branco, Dengue Clássico, Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Inconclusivo, Dengue, Dengue com sinais de alarme, Dengue grave
Evolução: Óbito pelo agravo notificado
Período:2014-2024
"Município de residência";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"110002 ARIQUEMES";-;-;-;-;-;-;-;-;-;-;-;1;1
"110004 CACOAL";-;-;-;-;-;-;-;-;-;5;-;-;5
"110005 CEREJEIRAS";-;-;-;-;-;-;-;-;-;-;1;-;1
"110009 ESPIGAO D'OESTE";-;-;-;-;-;-;-;-;-;-;-;1;1
"110010 GUAJARA-MIRIM";-;-;-;-;-;-;-;-;-;1;-;-;1
"110011 JARU";-;-;-;-;-;-;-;-;-;2;1;-;3
"110012 JI-PARANA";-;-;-;-;-;-;-;-;-;1;-;-;1
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;-;-;-;-;-;-;3;-;-;3
"110015 OURO PRETO DO OESTE";-;-;3;-;-;-;-;-;-;-;1;-;4
"110020 PORTO VELHO";-;1;1;1;-;-;-;2;1;2;2;1;11
"110028 ROLIM DE MOURA";-;-;-;1;-;-;-;-;1;-;-;-;2
"110030 VILHENA";-;-;-;-;-;-;-;1;-;-;-;-;1
"110032 SAO MIGUEL DO GUAPORE";-;-;-;-;-;-;-;-;-;1;-;-;1
"110034 ALVORADA D'OESTE";-;-;-;-;-;-;-;-;-;1;-;-;1
"110050 NOVO HORIZONTE DO OESTE";-;-;-;1;-;-;-;-;-;-;-;-;1
"110094 CUJUBIM";-;-;-;-;-;1;-;-;-;-;-;-;1
"110145 PARECIS";-;1;-;-;-;-;-;-;-;-;-;-;1
"110148 SAO FELIPE D'OESTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;-;-;-;-;-;-;1;-;1;2
"120005 ASSIS BRASIL";-;-;-;-;-;-;-;-;-;1;-;-;1
"120010 BRASILEIA";-;-;-;-;-;-;-;-;1;-;-;-;1
"120020 CRUZEIRO DO SUL";-;2;1;-;1;-;2;4;3;1;1;-;15
"120030 FEIJO";-;-;-;-;-;2;-;-;-;-;-;-;2
"120038 PLACIDO DE CASTRO";-;-;-;-;-;-;1;-;-;-;-;-;1
"120040 RIO BRANCO";-;-;-;-;-;1;1;-;-;-;-;-;2
"130002 ALVARAES";-;-;-;-;-;-;-;-;-;-;1;-;1
"130060 BENJAMIN CONSTANT";-;-;-;-;-;-;-;-;-;3;-;-;3
"130120 COARI";-;-;-;-;-;-;-;-;-;-;2;-;2
"130140 EIRUNEPE";-;-;-;-;-;-;-;-;1;-;-;-;1
"130170 HUMAITA";-;-;-;-;-;1;-;-;-;1;1;-;3
"130180 IPIXUNA";-;-;-;-;-;-;-;-;-;1;-;-;1
"130190 ITACOATIARA";-;1;-;-;-;-;-;-;-;-;-;-;1
"130230 JUTAI";-;-;-;-;-;-;-;2;-;-;3;-;5
"130240 LABREA";-;-;-;-;-;-;-;1;-;-;-;3;4
"130250 MANACAPURU";-;-;-;-;-;-;-;1;-;-;-;-;1
"130260 MANAUS";-;5;3;1;-;-;-;-;5;3;3;2;22
"130270 MANICORE";-;-;-;-;1;-;-;-;-;-;-;-;1
"130340 PARINTINS";-;1;-;-;-;-;-;-;-;-;-;-;1
"130380 SAO GABRIEL DA CACHOEIRA";-;-;-;-;-;-;-;3;-;-;-;-;3
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;-;-;-;-;-;1;-;-;1
"130406 TABATINGA";-;1;-;-;2;1;-;-;-;-;-;-;4
"130410 TAPAUA";-;-;-;-;-;1;-;-;1;3;-;-;5
"130420 TEFE";-;-;-;-;-;-;-;-;2;-;3;-;5
"140005 ALTO ALEGRE";-;-;-;-;-;-;-;-;1;-;-;-;1
"140010 BOA VISTA";-;1;-;-;-;-;1;1;-;1;-;-;4
"150020 ACARA";-;-;-;-;-;-;-;-;1;-;-;-;1
"150060 ALTAMIRA";-;1;1;-;-;-;-;-;-;-;-;1;3
"150080 ANANINDEUA";-;1;-;-;-;-;-;-;-;-;-;-;1
"150140 BELEM";-;-;2;-;-;-;-;-;-;1;-;4;7
"150157 BOM JESUS DO TOCANTINS";-;-;-;-;-;-;-;1;-;-;-;-;1
"150260 COLARES";-;-;-;-;-;-;-;-;-;-;-;1;1
"150330 IGARAPE-MIRI";-;-;-;-;-;1;-;-;-;-;-;-;1
"150350 IRITUIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150360 ITAITUBA";-;-;-;-;-;-;-;-;1;-;-;-;1
"150420 MARABA";-;-;-;-;-;-;-;-;-;-;-;1;1
"150460 MOCAJUBA";-;-;-;-;-;-;-;-;-;-;-;1;1
"150480 MONTE ALEGRE";-;-;-;-;-;-;-;-;-;-;-;1;1
"150520 OEIRAS DO PARA";-;-;-;-;-;-;-;-;-;-;1;-;1
"150530 ORIXIMINA";-;1;-;-;-;-;-;-;-;-;-;-;1
"150619 RUROPOLIS";-;-;1;-;-;-;-;-;-;-;-;-;1
"150730 SAO FELIX DO XINGU";-;-;-;-;-;-;-;-;-;1;-;-;1
"150795 TAILANDIA";-;1;-;-;-;-;-;-;-;-;-;-;1
"150805 TRAIRAO";-;-;-;-;-;-;-;-;-;1;-;-;1
"150808 TUCUMA";-;-;-;-;-;-;-;-;-;2;-;-;2
"150815 URUARA";-;-;-;-;-;-;-;1;-;-;-;-;1
"150835 VITORIA DO XINGU";-;1;-;-;-;-;-;-;-;-;-;-;1
"160027 LARANJAL DO JARI";-;1;-;-;-;-;-;-;-;-;-;-;1
"160030 MACAPA";-;-;2;-;-;-;1;-;-;-;-;8;11
"160050 OIAPOQUE";-;-;-;-;-;-;-;-;-;-;-;2;2
"160053 PORTO GRANDE";-;-;-;-;-;-;-;-;-;-;-;1;1
"160060 SANTANA";-;-;-;1;1;-;-;-;-;-;-;1;3
"170025 ABREULANDIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"170210 ARAGUAINA";-;-;-;-;-;-;1;-;-;-;-;-;1
"170220 ARAGUATINS";-;-;1;-;-;-;-;-;-;-;-;-;1
"170370 BREJINHO DE NAZARE";-;-;1;-;-;-;-;-;-;-;-;1;2
"170388 CARMOLANDIA";-;-;-;-;-;-;-;-;-;1;-;-;1
"170550 COLINAS DO TOCANTINS";-;-;-;-;1;-;1;-;-;-;-;-;2
"170700 DIANOPOLIS";-;-;-;-;-;-;-;-;-;-;1;-;1
"170710 DIVINOPOLIS DO TOCANTINS";-;-;-;-;1;-;-;-;-;-;-;-;1
"170720 DOIS IRMAOS DO TOCANTINS";-;-;-;-;-;-;-;-;-;1;-;-;1
"170730 DUERE";-;-;-;-;-;-;-;-;-;1;-;-;1
"170930 GUARAI";-;-;1;-;-;-;-;-;-;-;-;-;1
"170950 GURUPI";-;-;-;-;-;-;1;-;1;1;-;-;3
"171050 ITACAJA";-;-;-;-;-;-;1;-;-;-;-;-;1
"171320 MIRACEMA DO TOCANTINS";-;-;-;-;-;-;1;-;-;-;-;-;1
"171610 PARAISO DO TOCANTINS";-;-;-;-;-;-;1;-;-;-;-;-;1
"171650 PEDRO AFONSO";-;-;-;-;-;-;1;-;-;1;-;-;2
"171660 PEIXE";-;-;-;-;-;-;-;-;-;-;-;1;1
"171790 PONTE ALTA DO TOCANTINS";-;-;1;-;-;-;-;-;-;-;-;-;1
"171820 PORTO NACIONAL";-;-;-;-;-;1;-;-;1;1;-;-;3
"171850 RECURSOLANDIA";-;-;-;-;-;-;-;-;-;1;-;-;1
"171870 RIO DOS BOIS";-;-;-;-;-;-;-;-;1;-;-;-;1
"172025 SAO SALVADOR DO TOCANTINS";-;-;-;-;-;-;-;-;-;-;-;1;1
"172065 SILVANOPOLIS";-;-;-;-;-;-;-;-;1;-;-;-;1
"172100 PALMAS";-;-;1;-;-;1;2;-;2;-;2;-;8
"172110 TOCANTINIA";-;-;-;-;-;-;1;-;-;-;-;-;1
"172120 TOCANTINOPOLIS";-;-;-;-;-;-;-;-;-;1;-;-;1
"172210 XAMBIOA";-;-;-;-;-;-;-;-;-;-;1;-;1
"210060 AMARANTE DO MARANHAO";-;-;-;-;-;-;-;-;-;-;1;-;1
"210100 ARARI";-;-;-;-;-;-;-;-;-;2;-;-;2
"210160 BARRA DO CORDA";-;-;1;5;-;-;-;-;-;-;-;-;6
"210270 CANTANHEDE";-;-;-;-;-;-;-;-;-;-;1;-;1
"210325 CIDELANDIA";-;-;-;-;-;-;-;-;-;1;-;-;1
"210350 COLINAS";-;-;-;-;-;-;1;-;-;-;-;-;1
"210380 DOM PEDRO";-;-;-;-;-;-;-;-;-;1;-;-;1
"210440 GONCALVES DIAS";-;-;-;-;-;-;-;-;-;-;1;-;1
"210530 IMPERATRIZ";-;1;2;2;-;-;1;-;-;1;-;-;7
"210540 ITAPECURU MIRIM";-;-;1;-;-;-;-;-;-;-;1;-;2
"210550 JOAO LISBOA";-;-;-;1;-;-;-;-;-;-;-;-;1
"210570 LAGO DA PEDRA";-;-;-;-;1;-;-;-;-;-;-;-;1
"210590 LAGO VERDE";-;-;-;-;-;-;-;-;-;-;-;1;1
"210596 LAGOA GRANDE DO MARANHAO";-;-;-;-;-;-;1;-;-;-;-;-;1
"210632 MARACACUME";-;-;-;-;-;1;-;-;-;-;-;-;1
"210675 MIRANDA DO NORTE";-;1;1;-;-;-;-;-;-;-;-;-;2
"210735 NOVA OLINDA DO MARANHAO";-;2;-;-;-;-;-;-;-;-;-;-;2
"210745 OLINDA NOVA DO MARANHAO";-;1;-;-;-;-;-;-;-;-;-;-;1
"210750 PACO DO LUMIAR";-;-;-;-;-;1;1;-;-;-;-;-;2
"210770 PARAIBANO";-;-;-;-;-;-;-;-;1;-;-;-;1
"210800 PASTOS BONS";-;-;1;-;-;-;-;-;-;-;-;-;1
"210900 PORTO FRANCO";-;-;-;-;-;-;-;-;-;2;-;-;2
"210945 RAPOSA";-;-;1;-;-;-;-;-;-;1;-;-;2
"211000 SANTA LUZIA";-;1;-;-;-;-;-;-;-;-;1;-;2
"211070 SAO DOMINGOS DO MARANHAO";-;-;-;-;-;-;-;1;-;-;-;-;1
"211102 SAO JOAO DO CARU";-;1;-;-;-;-;-;-;-;-;-;-;1
"211105 SAO JOAO DO PARAISO";-;-;-;-;-;-;-;-;-;-;1;-;1
"211120 SAO JOSE DE RIBAMAR";-;2;-;1;-;-;-;-;-;-;1;-;4
"211130 SAO LUIS";-;6;6;1;1;1;1;1;-;4;2;3;26
"211140 SAO LUIS GONZAGA DO MARANHAO";-;-;-;-;-;-;-;1;-;-;-;-;1
"211223 TRIZIDELA DO VALE";-;-;-;-;-;-;-;1;-;-;-;-;1
"211290 VITORIA DO MEARIM";-;-;1;-;-;-;-;-;-;-;-;-;1
"211300 VITORINO FREIRE";-;-;-;-;1;-;-;-;-;-;-;-;1
"510025 ALTA FLORESTA";-;1;-;-;1;-;-;-;-;-;-;-;2
"510040 ALTO GARCAS";-;-;-;-;-;-;-;-;-;-;-;1;1
"510050 ALTO PARAGUAI";-;1;-;-;-;-;-;-;-;-;-;-;1
"510130 ARENAPOLIS";-;-;-;-;-;-;-;-;-;1;-;-;1
"510180 BARRA DO GARCAS";-;-;-;-;-;-;-;-;1;-;-;-;1
"510190 BRASNORTE";-;-;-;1;-;-;-;1;-;-;-;-;2
"510250 CACERES";-;-;-;-;-;-;-;1;-;-;-;-;1
"510260 CAMPINAPOLIS";-;-;-;-;-;-;-;-;1;-;-;1;2
"510263 CAMPO NOVO DO PARECIS";-;-;-;-;-;-;-;1;-;1;-;-;2
"510267 CAMPO VERDE";-;-;-;-;-;1;-;-;-;-;1;2;4
"510269 CANABRAVA DO NORTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"510270 CANARANA";-;-;-;-;1;-;-;-;-;1;-;-;2
"510300 CHAPADA DOS GUIMARAES";-;-;-;-;-;-;-;2;-;1;-;-;3
"510320 COLIDER";-;-;-;-;-;-;-;-;2;-;2;-;4
"510325 COLNIZA";-;-;-;-;-;-;-;-;-;-;1;-;1
"510330 COMODORO";-;-;-;-;-;-;-;-;-;-;-;1;1
"510335 CONFRESA";-;-;-;-;-;-;1;-;-;-;-;-;1
"510340 CUIABA";-;1;2;-;1;-;-;-;-;1;-;4;9
"510350 DIAMANTINO";-;-;-;-;-;-;-;-;-;-;1;-;1
"510380 FIGUEIROPOLIS D'OESTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"510385 GAUCHA DO NORTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"510410 GUARANTA DO NORTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"510480 JACIARA";-;-;-;-;-;-;-;-;-;-;-;1;1
"510500 JAURU";-;-;-;-;-;-;-;-;1;-;-;-;1
"510510 JUARA";-;-;-;-;-;-;-;-;1;2;-;-;3
"510515 JUINA";-;-;1;1;-;-;-;-;-;-;1;1;4
"510525 LUCAS DO RIO VERDE";-;-;1;-;-;-;-;1;-;2;-;1;5
"510560 MATUPA";-;-;1;-;-;-;-;-;1;-;-;-;2
"510600 NORTELANDIA";-;-;-;1;-;-;-;-;-;-;-;-;1
"510619 NOVA SANTA HELENA";-;-;-;-;-;-;-;-;-;-;1;-;1
"510621 NOVA CANAA DO NORTE";-;-;-;-;-;-;-;-;1;-;-;-;1
"510622 NOVA MUTUM";-;-;-;-;-;1;-;-;-;1;-;2;4
"510626 NOVO MUNDO";-;-;-;-;-;-;-;2;-;-;-;-;2
"510627 NOVO HORIZONTE DO NORTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"510642 PEIXOTO DE AZEVEDO";-;-;1;-;-;-;-;1;-;1;-;1;4
"510650 POCONE";-;-;-;-;-;1;-;-;-;-;-;-;1
"510665 PONTAL DO ARAGUAIA";-;-;-;-;-;-;-;-;-;-;1;-;1
"510675 PONTES E LACERDA";-;-;-;-;-;-;-;-;-;2;-;-;2
"510677 PORTO ALEGRE DO NORTE";-;-;-;-;-;-;-;-;1;-;-;-;1
"510700 POXOREO";-;-;-;-;-;-;-;-;-;-;2;-;2
"510704 PRIMAVERA DO LESTE";-;-;-;-;-;-;1;1;-;-;2;2;6
"510706 QUERENCIA";-;-;-;-;-;-;-;-;-;1;-;-;1
"510760 RONDONOPOLIS";-;1;1;-;-;-;-;2;1;-;2;-;7
"510776 SANTA RITA DO TRIVELATO";-;-;-;-;-;-;-;-;-;-;-;1;1
"510785 SAO FELIX DO ARAGUAIA";-;-;-;-;-;-;1;-;-;-;-;-;1
"510787 SAPEZAL";-;-;1;-;-;-;-;-;-;-;1;-;2
"510788 SERRA NOVA DOURADA";-;-;-;-;-;1;-;-;-;-;-;-;1
"510790 SINOP";1;1;-;1;2;-;2;3;2;2;1;1;16
"510792 SORRISO";-;-;1;-;-;-;-;1;-;2;-;-;4
"510795 TANGARA DA SERRA";-;-;-;1;-;-;-;-;-;1;-;3;5
"510830 UNIAO DO SUL";-;-;-;-;-;-;-;1;-;-;-;-;1
"510840 VARZEA GRANDE";-;-;-;-;-;-;-;-;1;-;1;-;2
"510850 VERA";-;-;-;-;-;-;-;1;-;-;-;-;1
"Total";1;39;44;20;15;17;26;39;38;76;57;59;431
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB
 (Coordenação Geral de Vigilância de Arboviroses - CGARB) em sua série histórica, que para tal, realiza análise ano a ano, com a base congelada para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de
 alarme e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar o sistema e-SUS Vigilância em Saúde. Portanto, para os casos de Arboviroses urbanas do Espírito Santo
