DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Notificações por UF de residência e Ano 1º Sintoma(s)
Classifica. Final: Ign/Ñ preenchido, Dengue Clássico, Dengue Com Complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue
Evolução caso: Óbito
Período:2003-2006
"UF de residência";"2002";"2003";"2004";"2005";"2006";"Total"
"11 Rondônia";-;1;-;2;1;4
"12 Acre";-;-;2;-;1;3
"13 Amazonas";-;-;-;-;3;3
"14 Roraima";-;3;-;-;2;5
"15 Pará";-;4;2;8;2;16
"16 Amapá";-;1;-;1;3;5
"17 Tocantins";-;1;-;-;-;1
"21 Maranhão";-;7;3;9;11;30
"22 Piauí";-;3;-;1;7;11
"23 Ceará";-;21;2;27;22;72
"24 Rio Grande do Norte";-;4;-;-;8;12
"26 Pernambuco";-;12;1;2;3;18
"27 Alagoas";-;5;3;1;5;14
"29 Bahia";-;-;1;5;3;9
"31 Minas Gerais";-;4;4;2;13;23
"32 Espírito Santo";1;6;1;-;3;11
"33 Rio de Janeiro";-;1;-;4;11;16
"35 São Paulo";-;2;-;1;15;18
"41 Paraná";1;2;-;1;-;4
"50 Mato Grosso do Sul";-;1;-;-;5;6
"51 Mato Grosso";-;1;-;4;3;8
"52 Goiás";1;7;-;10;23;41
"53 Distrito Federal";-;3;-;-;1;4
"Total";3;89;19;78;145;334
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan 
 Notas:
 
 Incluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados,
    pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para tabular dados em série histórica selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas;
    em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos notificados
    com atraso) e em Seleções Disponíveis assinale os anos dos 1ºs sintomas (ex: série histórica de nº de casos, 2001 a 2005:
    selecione na linha UF de residência, na Coluna Ano de 1ºs sintomas, em Períodos disponíveis-2001 até o ano atual e
    em Seleções assinale Ano de 1ºs sintomas de 2001 a 2005).
 Para cálculo da incidência utilize locais de residência.
 
