DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por UF de residência e Ano Notificação
Class. Final: Dengue Clássico, Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Inconclusivo, Ignorado/brancos
Evolução: Óbito pelo agravo notificado
Período:2007-2013
"UF de residência";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"Total"
"11 Rondônia";-;5;19;23;3;3;6;59
"12 Acre";-;-;5;9;2;-;-;16
"13 Amazonas";5;10;3;6;23;6;11;64
"14 Roraima";-;4;3;6;1;-;-;14
"15 Pará";30;26;15;21;22;6;9;129
"16 Amapá";5;-;-;3;1;1;3;13
"17 Tocantins";7;6;-;5;5;5;7;35
"21 Maranhão";41;16;5;4;20;13;17;116
"22 Piauí";13;1;3;7;2;6;2;34
"23 Ceará";29;41;35;21;70;38;71;305
"24 Rio Grande do Norte";11;22;4;7;30;15;19;108
"25 Paraíba";-;6;1;5;8;13;17;50
"26 Pernambuco";16;30;1;28;53;36;37;201
"27 Alagoas";20;10;3;21;8;10;3;75
"28 Sergipe";-;57;2;-;5;3;2;69
"29 Bahia";4;17;76;35;20;28;21;201
"31 Minas Gerais";9;17;19;86;22;16;109;278
"32 Espírito Santo";-;11;46;13;22;11;30;133
"33 Rio de Janeiro";43;274;20;46;152;45;61;641
"35 São Paulo";32;3;11;152;55;16;78;347
"41 Paraná";10;2;-;15;14;1;27;69
"43 Rio Grande do Sul";-;-;-;-;-;-;1;1
"50 Mato Grosso do Sul";14;-;2;43;4;7;36;106
"51 Mato Grosso";9;-;60;57;6;16;27;175
"52 Goiás";23;38;44;85;42;52;95;379
"53 Distrito Federal";4;1;2;5;1;1;6;20
"00 Ignorado/exterior";-;-;-;-;-;2;1;3
"Total";325;597;379;703;591;350;696;3641
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados,
   pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG)
   em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico.
   A partir de 2013, deve-se incluir, além dos casos graves, aqueles com classificação final dengue.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
